index,mtx,pixel_gflops
274,2607_TSOPF_RS_b2052_c1.mtx,34.780471
275,0538_celegans_metabolic.mtx,1.028069
276,1559_t2d_q9.mtx,5.174407
277,1039_polblogs.mtx,1.174411
278,2197_pkustk02.mtx,71.470498
279,2090_k1_san.mtx,3.144077
280,1301_G22.mtx,0.474988
281,0140_bcsstk01.mtx,0.094795
282,0983_adder_trans_02.mtx,3.768179
283,1074_swang2.mtx,0.505139
284,2540_pkustk04.mtx,44.784646
285,2204_nj2010.mtx,0.725123
286,0233_fs_183_6.mtx,0.313554
287,0694_bfwb782.mtx,0.764962
288,1321_Alemdar.mtx,0.110707
289,1716_TSOPF_FS_b9_c6.mtx,77.284364
290,1171_bayer07.mtx,2.158368
291,2735_germany_osm.mtx,1.828613
292,1899_sinc12.mtx,6.637555
293,2164_c-64.mtx,102.561697
294,2417_mixtank_new.mtx,8.705944
295,0174_can_61.mtx,0.148173
296,2641_gupta3.mtx,223.151129
297,0639_fpga_dcop_07.mtx,0.492233
298,0969_CAG_mat364.mtx,4.443343
299,2664_fullb.mtx,80.511404
300,2278_ex11.mtx,48.137834
301,0888_adder_dcop_48.mtx,3.859119
302,2738_dielFilterV2clx.mtx,5.489643
303,1139_email-Eu-core-temporal.mtx,2.555877
304,1533_kineticBatchReactor_5.mtx,26.735232
305,0562_pde900.mtx,0.476178
306,0222_ck104.mtx,0.243038
307,2728_CoupCons3D.mtx,79.758488
308,1199_c-23.mtx,3.459600
309,1999_nemeth09.mtx,72.939827
310,0050_GD95_b.mtx,0.003500
311,1108_G36.mtx,0.589214
312,1429_ex10hs.mtx,8.407906
313,2295_az2010.mtx,0.436543
314,2150_rgg_n_2_16_s0.mtx,0.643574
315,0162_bcsstm20.mtx,0.017963
316,0441_lshp_406.mtx,0.343776
317,2709_human_gene2.mtx,13.322716
318,0621_dynamicSoaringProblem_1.mtx,1.337165
319,0084_pores_1.mtx,0.036203
320,1772_ca-CondMat.mtx,0.070572
321,2630_Ge99H100.mtx,17.419603
322,0542_nos2.mtx,0.398872
323,2045_nemeth13.mtx,113.918575
324,1689_cavity21.mtx,23.458249
325,1545_jan99jac040.mtx,0.943265
326,0076_bcsstm05.mtx,0.005186
327,2131_mt2010.mtx,0.531863
328,0290_oscil_dcop_25.mtx,0.098473
329,0605_spaceStation_3.mtx,0.757850
330,2549_TSOPF_RS_b678_c1.mtx,32.114785
331,0737_reorientation_1.mtx,2.503885
332,0169_lns_131.mtx,0.069055
333,1825_ABACUS_shell_ld.mtx,1.110290
334,1230_G60.mtx,0.040655
335,2638_CurlCurl_2.mtx,9.049949
336,1367_circuit_3.mtx,6.020671
337,1275_G6.mtx,2.689452
338,2387_bbmat.mtx,68.696716
339,2202_TSC_OPF_300.mtx,191.179163
340,0160_bcspwr03.mtx,0.062254
341,2125_TSOPF_FS_b162_c1.mtx,167.560823
342,2743_F1.mtx,21.360078
343,1912_Na5.mtx,15.017775
344,2128_c-69.mtx,5.653887
345,2807_Long_Coup_dt0.mtx,63.936797
346,0331_oscil_dcop_48.mtx,0.108403
347,0618_bcspwr06.mtx,0.266279
348,1743_c-48.mtx,2.923381
349,0497_qh882.mtx,0.225373
350,1278_G9.mtx,2.658454
351,0977_Erdos972.mtx,0.078420
352,0138_tub100.mtx,0.047636
353,1091_bcsstk10.mtx,7.315061
354,0193_will199.mtx,0.058800
355,1022_reorientation_2.mtx,7.875272
356,1054_G46.mtx,0.946218
357,1302_p2p-Gnutella04.mtx,0.107729
358,2597_marine1.mtx,6.567106
359,0887_adder_dcop_29.mtx,3.811377
360,1823_ABACUS_shell_md.mtx,1.115952
361,0124_dwt_66.mtx,0.038024
362,0119_mesh1em1.mtx,0.058029
363,2217_c-71.mtx,4.257775
364,0325_oscil_dcop_08.mtx,0.108403
365,1974_c-53.mtx,54.313069
366,2353_sparsine.mtx,0.082119
367,1038_spaceStation_11.mtx,1.835760
368,1819_jan99jac100.mtx,1.019711
369,0833_M80PI_n.mtx,0.347724
370,2704_af_shell1.mtx,81.770772
371,1080_bcsstk34.mtx,6.925800
372,2588_Goodwin_127.mtx,36.731510
373,2605_shipsec8.mtx,71.132809
374,2436_gupta1.mtx,43.397484
375,0739_cavity03.mtx,2.699964
376,0446_problem1.mtx,0.297516
377,0436_fs_680_3.mtx,0.264345
378,2794_Hook_1498.mtx,27.976725
379,1073_lshp3025.mtx,1.455869
380,2566_ecology2.mtx,7.889996
381,0039_bcsstm02.mtx,0.002750
382,1799_g7jac060sc.mtx,0.771834
383,2741_CurlCurl_4.mtx,8.691728
384,2589_pre2.mtx,12.283517
385,2420_TSC_OPF_1047.mtx,509.467562
386,2805_channel-500x100x100-b050.mtx,8.699446
387,1404_kineticBatchReactor_3.mtx,14.801064
388,1259_lhr02.mtx,3.391297
389,1195_freeFlyingRobot_7.mtx,3.901026
390,2435_144.mtx,0.175073
391,1351_barth(0).mtx,0.074932
392,1566_garon1.mtx,4.547709
393,1271_dynamicSoaringProblem_8.mtx,11.188703
394,2070_c-67b.mtx,31.454085
395,1986_g7jac100.mtx,0.837543
396,2745_adaptive.mtx,4.011693
397,0513_bfwa398.mtx,0.661008
398,1174_fd12.mtx,0.714756
399,2570_tmt_sym.mtx,8.667951
400,0910_adder_dcop_12.mtx,3.855095
401,0260_impcol_e.mtx,0.179723
402,2484_roadNet-PA.mtx,1.545653
403,1215_rajat03.mtx,0.434848
404,2810_nlpkkt120.mtx,14.909410
405,0319_oscil_dcop_27.mtx,0.110256
406,1642_g7jac040.mtx,0.721346
407,1222_poli_large.mtx,0.431169
408,1290_spaceShuttleEntry_4.mtx,14.069862
409,0529_young3c.mtx,0.367650
410,0505_west0989.mtx,0.338390
411,0234_fs_183_1.mtx,0.318453
412,0897_adder_dcop_26.mtx,3.807452
413,0613_tols2000.mtx,0.787788
414,2348_nemeth25.mtx,371.154931
415,2167_pf2177(0).mtx,1.717024
416,2649_atmosmodm.mtx,5.781142
417,2609_nd6k.mtx,159.331753
418,0165_lesmis.mtx,0.140782
419,0571_nos7.mtx,0.515113
420,0337_oscil_dcop_40.mtx,0.106612
421,0137_olm100.mtx,0.046235
422,2490_net150.mtx,12.901673
