index,mtx,m,n,nnz,right-n,pixel_gflops
1308,1191_LeGresley_4908.mtx,4908,4908,30482,8,18.758
1309,0250_football(0).mtx,115,115,1226,8,1.032
1310,1761_t2dah.mtx,11445,11445,176117,8,88.058
1311,1183_rdb5000.mtx,5000,5000,29600,8,18.215
1312,1788_torsion1.mtx,40000,40000,197608,8,65.869
1313,1698_cca.mtx,49152,49152,139264,8,36.528
1314,1072_sherman5.mtx,3312,3312,20793,8,14.465
1315,2335_rgg_n_2_17_s0.mtx,131072,131072,1457506,8,55.0
1316,0159_mycielskian6.mtx,47,47,472,8,0.472
1317,0090_n4c5-b1.mtx,105,15,210,8,0.42
1318,0435_Harvard500.mtx,500,500,2636,8,1.757
1319,0923_ex32.mtx,1159,1159,11343,8,9.552
1320,1836_lowThrust_13.mtx,18476,18476,224897,8,74.966
1321,2080_c-58.mtx,37595,37595,552557,8,65.007
1322,0202_rajat11.mtx,135,135,812,8,0.866
1323,1635_vsp_data_and_seymourl.mtx,9167,9167,111732,8,36.484
1324,1766_dictionary28.mtx,52652,52652,178076,8,32.014
1325,2682_memchip.mtx,2707524,2707524,14810202,8,99.272
1326,1286_jan99jac020sc.mtx,6774,6774,38692,8,26.916
1327,2334_n4c6-b10.mtx,132402,186558,1456422,8,90.321
1328,1441_crack.mtx,10240,10240,60760,8,27.776
1329,1225_n4c5-b6.mtx,4735,4340,33145,8,23.057
1330,2366_mo2010.mtx,343565,343565,1656568,8,29.45
1331,0941_rdb2048_noL.mtx,2048,2048,12032,8,14.809
1332,0266_bibd_15_3.mtx,105,455,1365,8,0.874
1333,1776_nemswrld.mtx,7138,28550,192283,8,45.243
1334,2410_conf6_0-8x8-20.mtx,49152,49152,1916928,8,205.845
1335,2189_ma2010.mtx,157508,157508,776610,8,27.674
1336,1589_as-22july06.mtx,22963,22963,96872,8,25.833
1337,0508_bcsstm24.mtx,3562,3562,3562,8,5.699
1338,0691_fs_760_3.mtx,760,760,5976,8,6.374
1339,2186_dc1.mtx,116835,116835,766396,8,65.574
1340,1954_onetone1.mtx,36057,36057,341088,8,52.985
1341,2469_matrix-new_3.mtx,125329,125329,2678750,8,140.065
1342,1480_ex3sta1.mtx,17443,17516,68779,8,39.302
1343,0798_well1850.mtx,1850,712,8758,8,9.342
1344,2451_TSOPF_FS_b162_c4.mtx,40798,40798,2398220,8,209.68
1345,2121_lp_osa_30.mtx,4350,104374,604488,8,61.214
1346,0645_fpga_dcop_08.mtx,1220,1220,5888,8,3.768
1347,0404_celegansneural.mtx,297,297,2345,8,1.631
1348,1688_cavity26.mtx,4562,4562,138187,8,69.094
1349,2088_c-62ghs.mtx,41731,41731,559343,8,62.149
1350,1474_flowmeter5.mtx,9669,9669,67391,8,51.346
1351,0469_mk12-b1.mtx,1485,66,2970,8,3.655
1352,2294_tn2010.mtx,240116,240116,1193966,8,29.21
1353,1844_lhr10.mtx,10672,10672,232633,8,84.594
1354,1359_crew1.mtx,135,6469,46950,8,22.764
1355,0417_dw256A.mtx,512,512,2480,8,3.307
1356,1924_rlfprim.mtx,58866,62716,320591,8,74.34
