mtx,m,n,nnz,N,time,gflops
2834_uk-2002.mtx,18520576,18520486,298113762,8,11.375135,419.319889
2250_la2010.mtx,204544,204447,980634,8,0.095439,164.399532
0354_lpi_bgdbg1.mtx,384,629,1662,8,0.009885,2.690139
2746_ML_Laplace.mtx,377088,377002,27689972,8,1.034591,428.226664
1012_LeGresley_2508.mtx,2560,2508,16727,8,0.009583,27.928605
2000_ca-AstroPh.mtx,18816,18772,396160,8,0.049936,126.933268
0643_fpga_dcop_04.mtx,1280,1220,5884,8,0.010924,8.618139
2247_co2010.mtx,201088,201062,974574,8,0.054990,283.566222
2218_vsp_vibrobox_scagr7-2c_rlfddd.mtx,77440,77328,871172,8,0.059229,235.334861
0835_IG5-10.mtx,768,976,10273,8,0.012928,12.714014
2252_kneser_10_4_1.mtx,349696,330751,992252,8,0.070146,226.326903
0154_lpi_ex73a.mtx,256,211,457,8,0.008291,0.881892
1110_G39.mtx,2048,2000,23556,8,0.022023,17.113664
0121_impcol_b.mtx,128,59,312,8,0.008296,0.601722
2788_wb-edu.mtx,9845760,9845725,57156537,8,3.178027,287.758594
0716_cr42.mtx,1024,1513,6614,8,0.007932,13.341402
1465_fe_4elt2.mtx,11264,11143,65636,8,0.010784,97.383945
0632_lp_grow15.mtx,384,645,5620,8,0.009155,9.822221
2129_nd2010.mtx,133888,133769,625946,8,0.039489,253.616165
2558_ship_001.mtx,34944,34920,4644230,8,0.188447,394.315984
0735_rdb1250.mtx,1280,1250,7300,8,0.008397,13.910061
0860_adder_dcop_09.mtx,1920,1813,11239,8,0.028582,6.291459
1587_cti.mtx,16896,16840,96464,8,0.012228,126.219487
1713_ccc.mtx,49152,49152,147456,8,0.017148,137.583298
1125_add32.mtx,4992,4960,23884,8,0.010492,36.423750
2094_g7jac140sc.mtx,41600,41490,565956,8,0.033467,270.572779
1683_abtaha2.mtx,38016,331,137228,8,0.013073,167.950105
0145_west0132.mtx,256,132,414,8,0.008326,0.795597
1306_freeFlyingRobot_10.mtx,5248,5218,40080,8,0.011101,57.765979
0610_dwt_607.mtx,640,607,5131,8,0.008740,9.393135
2803_audikw_1.mtx,943744,943695,77651847,8,2.894258,429.273971
1506_xingo3012.mtx,20992,20944,74386,8,0.013519,88.038479
2669_test1.mtx,392960,392908,12968200,8,0.468071,443.290006
0394_gre_512.mtx,512,512,2192,8,0.008237,4.257650
0452_ck400.mtx,512,400,2860,8,0.008467,5.404711
1615_psse0.mtx,26752,11028,102432,8,0.012046,136.049940
1475_powersim.mtx,15872,15838,67562,8,0.013841,78.101844
0285_oscil_dcop_38.mtx,512,430,1544,8,0.008793,2.809623
1800_g7jac060.mtx,17792,17730,203316,8,0.020905,155.612159
2241_crplat2.mtx,18048,18010,960946,8,0.047081,326.564915
1801_vsp_barth5_1Ksep_50in_5Kout.mtx,32256,32212,203610,8,0.016274,200.177752
0635_plat362.mtx,384,362,5786,8,0.008969,10.322337
1385_mbeacxc.mtx,512,496,49920,8,0.040351,19.794474
0437_fs_680_1.mtx,768,680,2646,8,0.008381,5.051354
2273_ts-palko.mtx,22016,47235,1076903,8,0.077615,221.997914
2015_onera_dual.mtx,85632,85567,419201,8,0.030578,219.346963
0880_adder_dcop_62.mtx,1920,1813,11246,8,0.028534,6.306088
0326_oscil_dcop_32.mtx,512,430,1544,8,0.008869,2.785586
2042_OPF_10000.mtx,43904,43887,467711,8,0.027403,273.087208
2230_ne2010.mtx,193408,193352,913854,8,0.051760,282.490168
0523_can_445.mtx,512,445,3809,8,0.008600,7.086169
1451_c-35.mtx,6656,6537,62891,8,0.039070,25.755135
1870_a5esindl.mtx,60032,60008,255004,8,0.044884,90.901832
2398_appu.mtx,14080,14000,1853104,8,0.084316,351.649987
2342_web-NotreDame.mtx,325760,325729,1497134,8,0.148817,160.963631
0379_west0479.mtx,512,479,1910,8,0.008573,3.564856
0806_laser.mtx,3072,3002,9000,8,0.008340,17.265790
1631_co9.mtx,10880,22924,109651,8,0.039991,43.870753
2582_para-8.mtx,156032,155924,5416358,8,0.214401,404.203709
2515_parabolic_fem.mtx,525952,525825,3674625,8,0.199941,294.056664
2307_amazon0302.mtx,262144,262111,1234877,8,0.077980,253.372443
0816_G16.mtx,896,800,9344,8,0.015569,9.602716
1539_gen2.mtx,1152,3264,81855,8,0.020875,62.738561
0759_model2.mtx,384,1321,7607,8,0.016287,7.473038
0168_lnsp_131.mtx,256,131,536,8,0.008382,1.023092
2276_dbic1.mtx,43264,226317,1081843,8,0.065272,265.191267
2214_ch7-8-b5.mtx,141184,141120,846720,8,0.037510,361.174121
2238_soc-Slashdot0902.mtx,82176,82168,948464,8,0.070920,213.980339
2344_boyd2.mtx,466432,466316,1500397,8,0.094017,255.340307
1567_jendrec1.mtx,2176,4228,89608,8,0.012633,113.495083
0440_tumorAntiAngiogenesis_2.mtx,384,305,2699,8,0.027668,1.560809
1578_ex26.mtx,2176,2163,94033,8,0.024453,61.527036
2786_hugebubbles-00000.mtx,18318208,18318143,54940162,8,5.741341,153.107541
2155_ch7-8-b4.mtx,141184,58800,705600,8,0.042784,263.875925
1760_epb2.mtx,25344,25228,175027,8,0.019092,146.678209
0646_fpga_dcop_29.mtx,1280,1220,5892,8,0.010934,8.621522
0537_1138_bus.mtx,1152,1138,4054,8,0.008750,7.412879
2037_tandem_dual.mtx,94080,94069,460493,8,0.032683,225.433273
0862_adder_dcop_11.mtx,1920,1813,11243,8,0.027322,6.583964
0275_dwt_245.mtx,256,245,1461,8,0.008572,2.726988
1285_jan99jac020.mtx,6784,6774,38692,8,0.014758,41.946913
0481_str_400.mtx,384,363,3157,8,0.009898,5.103393
1993_nemeth03.mtx,9600,9506,394808,8,0.039006,161.947930
1550_bcsstk13.mtx,2048,2003,83883,8,0.029407,45.640180
1400_aa4.mtx,512,7195,52121,8,0.031685,26.319484
2017_cit-HepPh.mtx,34560,34546,421578,8,0.043353,155.588410
0192_bcsstk22.mtx,256,138,696,8,0.008275,1.345671
0997_c-18.mtx,2176,2169,15145,8,0.019166,12.643317
0298_oscil_dcop_22.mtx,512,430,1544,8,0.008511,2.902572
1790_lowThrust_5.mtx,16384,16262,198369,8,0.025102,126.437946
2405_conf6_0-8x8-80.mtx,49152,49152,1916928,8,0.076584,400.486539
2651_crankseg_1.mtx,52864,52804,10614210,8,0.423755,400.767977
1017_rbsb480.mtx,512,480,17088,8,0.010308,26.524606
1839_mark3jac080sc.mtx,36736,36609,227955,8,0.019067,191.288127
1355_Franz4.mtx,6784,5252,46528,8,0.009855,75.541297
0829_can_838.mtx,896,838,10010,8,0.009338,17.152335
0696_dwt_503.mtx,512,503,6027,8,0.009046,10.659899
2249_or2010.mtx,196736,196621,979512,8,0.054555,287.275564
1944_usroads.mtx,129280,129164,330870,8,0.027254,194.242755
0528_tumorAntiAngiogenesis_3.mtx,512,410,3952,8,0.034754,1.819437
0633_rdb968.mtx,1024,968,5632,8,0.008282,10.880106
0382_mk11-b1.mtx,1024,55,1980,8,0.007852,4.034559
0289_oscil_dcop_21.mtx,512,430,1544,8,0.008716,2.834463
0268_n2c6-b2.mtx,512,105,1365,8,0.008099,2.696754
1865_rajat26.mtx,51072,51032,249302,8,0.051285,77.777764
1236_cell1.mtx,7168,7055,34855,8,0.009947,56.064018
0093_divorce.mtx,128,9,225,8,0.007959,0.452309
2836_Queen_4147.mtx,4147200,4147110,329499284,8,11.649507,452.550357
1907_dixmaanl.mtx,60032,60000,299998,8,0.024194,198.392219
0205_grid1_dual.mtx,256,224,840,8,0.007966,1.687221
1234_c-26.mtx,4352,4307,34537,8,0.039584,13.959848
1606_piston.mtx,2048,2025,100015,8,0.039550,40.460746
2578_cont11_l.mtx,1468672,1961394,5382999,8,0.503754,170.972378
0424_lp_etamacro.mtx,512,816,2537,8,0.009532,4.258441
0747_scrs8-2b.mtx,1920,3499,7367,8,0.008881,13.272391
2816_hollywood-2009.mtx,1139968,1139905,113891327,8,4.177534,436.204972
0921_adder_dcop_49.mtx,1920,1813,11246,8,0.028504,6.312679
0934_G52.mtx,1024,1000,11832,8,0.019108,9.907291
0413_dwt_310.mtx,384,310,2448,8,0.008625,4.541222
1904_finance256.mtx,37376,37376,298496,8,0.020718,230.520915
1827_bcsstk28.mtx,4480,4410,219024,8,0.040384,86.777164
0133_west0156.mtx,256,156,371,8,0.008193,0.724533
1376_rajat13.mtx,7680,7598,48922,8,0.032098,24.386183
2113_GL7d24.mtx,21120,105054,593892,8,0.054332,174.891395
0534_lp_stair.mtx,384,614,4003,8,0.010307,6.214102
0439_mcca.mtx,256,180,2659,8,0.010667,3.988229
1071_mk11-b2.mtx,7040,990,20790,8,0.008918,37.299107
1740_lock3491.mtx,3584,3491,160444,8,0.037369,68.696217
0701_delaunay_n10.mtx,1024,1024,6112,8,0.008780,11.138163
0678_fpga_dcop_13.mtx,1280,1220,5892,8,0.011011,8.561639
1041_wang1.mtx,2944,2903,19093,8,0.008797,34.727300
2092_Goodwin_040.mtx,18048,17922,561677,8,0.030155,298.017099
1312_mk12-b2.mtx,13952,1485,41580,8,0.010547,63.078944
0855_TF13.mtx,1152,1302,11185,8,0.010324,17.333722
2161_cyl6.mtx,13696,13681,714241,8,0.078303,145.944679
0596_bp_1600.mtx,896,822,4841,8,0.028442,2.723298
1324_freeFlyingRobot_15.mtx,6144,6038,43378,8,0.021008,33.037571
0568_IG5-9.mtx,384,540,4570,8,0.011882,6.153937
0935_G54.mtx,1024,1000,11832,8,0.016691,11.342264
1645_ex31.mtx,3968,3909,115357,8,0.029000,63.645452
1940_inlet.mtx,11776,11730,328323,8,0.025679,204.572049
2621_shipsec1.mtx,140928,140874,7813404,8,0.298559,418.726329
2430_mc2depi.mtx,525952,525825,2100225,8,0.093923,357.776933
1157_as-735.mtx,7808,7716,26467,8,0.037696,11.233833
2154_md2010.mtx,145280,145247,700378,8,0.041864,267.679683
2731_Freescale2.mtx,2999424,2999349,23042677,8,1.237268,297.981377
1373_ex24.mtx,2304,2283,48737,8,0.010884,71.642980
0730_bcsstm07.mtx,512,420,7252,8,0.009061,12.805119
0098_d_dyn.mtx,128,87,238,8,0.008043,0.473457
0422_dwt_307.mtx,384,307,2523,8,0.008614,4.686542
2607_TSOPF_RS_b2052_c1.mtx,25728,25626,6761100,8,0.290607,372.246799
0538_celegans_metabolic.mtx,512,453,4065,8,0.023376,2.782368
1559_t2d_q9.mtx,9856,9801,87025,8,0.011558,120.469836
1039_polblogs.mtx,1536,1490,19025,8,0.024834,12.257602
2197_pkustk02.mtx,10880,10800,810000,8,0.053997,240.013938
2227_nw14.mtx,128,123409,904910,8,0.070221,206.185168
2500_wiki-talk-temporal.mtx,1140224,1140149,3309592,8,0.328781,161.060220
2090_k1_san.mtx,67840,67759,559774,8,0.030206,296.512767
1301_G22.mtx,2048,2000,39980,8,0.010644,60.097166
1106_lp_80bau3b.mtx,2304,12061,23264,8,0.015960,23.322493
1328_flower_5_4.mtx,5248,14721,43942,8,0.009856,71.336963
0140_bcsstk01.mtx,128,48,400,8,0.008328,0.768448
0983_adder_trans_02.mtx,1920,1814,14579,8,0.041725,5.590459
1074_swang2.mtx,3200,3169,20841,8,0.008829,37.770215
2540_pkustk04.mtx,55680,55590,4218660,8,0.181059,372.797696
2204_nj2010.mtx,169600,169588,829912,8,0.047100,281.921291
0233_fs_183_6.mtx,256,183,1069,8,0.011803,1.449099
1304_n2c6-b6.mtx,5760,4945,40005,8,0.009740,65.717712
0180_Sandi_sandi.mtx,384,360,613,8,0.009020,1.087334
0694_bfwb782.mtx,896,782,5982,8,0.008712,10.986387
1321_Alemdar.mtx,6272,6245,42581,8,0.009990,68.196597
1716_TSOPF_FS_b9_c6.mtx,14464,14454,147972,8,0.022506,105.196855
1171_bayer07.mtx,3328,3268,27836,8,0.013065,34.089350
2735_germany_osm.mtx,11548928,11548845,24738362,8,2.934296,134.892236
0604_rel6.mtx,2432,157,5101,8,0.008199,9.953792
1450_mk12-b5.mtx,10496,62370,62370,8,0.010159,98.228516
1899_sinc12.mtx,7552,7500,294986,8,0.031225,151.153329
2164_c-64.mtx,51072,51035,717841,8,0.054908,209.175514
2417_mixtank_new.mtx,30080,29957,1995041,8,0.082916,384.975237
0046_problem.mtx,128,46,86,8,0.008103,0.169809
0174_can_61.mtx,128,61,557,8,0.008824,1.009998
0433_lp_grow7.mtx,256,301,2612,8,0.008973,4.657416
1011_lp_pds_02.mtx,3072,7716,16571,8,0.014508,18.274635
1149_lp_degen3.mtx,1536,2604,25432,8,0.021289,19.113354
2641_gupta3.mtx,16896,16783,9323427,8,0.376057,396.681381
0639_fpga_dcop_07.mtx,1280,1220,5855,8,0.010921,8.577900
0847_lpi_cplex1.mtx,3072,5224,10947,8,0.041408,4.229914
0969_CAG_mat364.mtx,384,364,13585,8,0.027885,7.794963
2664_fullb.mtx,199296,199187,11708077,8,0.459925,407.304216
2278_ex11.mtx,16640,16614,1096948,8,0.061407,285.818062
0888_adder_dcop_48.mtx,1920,1813,11246,8,0.028586,6.294596
1223_lp_d2q06c.mtx,2176,5831,33081,8,0.016270,32.531158
2738_dielFilterV2clx.mtx,607232,607232,25309272,8,0.894399,452.760498
1139_email-Eu-core-temporal.mtx,1024,1005,24929,8,0.029598,13.475820
1533_kineticBatchReactor_5.mtx,7680,7641,80767,8,0.027383,47.191816
0562_pde900.mtx,1024,900,4380,8,0.008346,8.397175
0222_ck104.mtx,128,104,992,8,0.008341,1.902950
2728_CoupCons3D.mtx,416896,416800,22322336,8,0.791168,451.430312
1846_lp_pds_20.mtx,33920,108175,232647,8,0.024491,151.988716
1199_c-23.mtx,4096,3969,31079,8,0.032289,15.400281
1999_nemeth09.mtx,9600,9506,395506,8,0.039118,161.770540
