mtx,m,n,nnz,other,time,gflops
0119_mesh1em1.mtx,48,48,306,0.491000,0.009781,0.062570
2217_c-71.mtx,76624,76638,859554,19.819000,0.061042,28.162708
0325_oscil_dcop_08.mtx,416,430,1544,21.746000,0.010043,0.307478
1974_c-53.mtx,30224,30235,372213,21.483000,0.031619,23.543629
1750_f855_mat9_I.mtx,2448,2511,171214,1.709000,0.019282,17.758946
2415_coAuthorsDBLP.mtx,299056,299067,1955352,80.202000,0.193878,20.170953
2353_sparsine.mtx,50000,50000,1548988,32.017000,0.142240,21.779921
1038_spaceStation_11.mtx,1360,1364,18954,0.986000,0.010174,3.725968
1819_jan99jac100.mtx,34448,34454,215862,3.259000,0.032426,13.314131
0833_M80PI_n.mtx,4176,4182,10261,1.541000,0.008709,2.356413
2704_af_shell1.mtx,504848,504855,17588875,131.330000,0.291172,120.814330
1080_bcsstk34.mtx,576,588,21418,6.052000,0.011301,3.790461
1629_lp_pds_10.mtx,16544,49932,107605,20.082000,0.027459,7.837503
2588_Goodwin_127.mtx,178432,178437,5778545,46.721000,0.137802,83.867360
2605_shipsec8.mtx,114912,114919,6653399,16.652000,0.130589,101.898307
2436_gupta1.mtx,31792,31802,2164210,59.048000,0.077715,55.696069
0739_cavity03.mtx,304,317,7327,25.957000,0.011543,1.269514
0446_problem1.mtx,400,415,2779,5.754000,0.010301,0.539559
0436_fs_680_3.mtx,672,680,2646,26.451000,0.008987,0.588851
2794_Hook_1498.mtx,1498016,1498023,60917445,1703.642000,1.662167,73.298826
1073_lshp3025.mtx,3024,3025,20833,1.143000,0.010046,4.147521
2566_ecology2.mtx,999984,999999,4995991,443.171000,0.230787,43.295255
1535_relat7.mtx,21920,1045,81355,2.183000,0.012592,12.921696
2296_Maragal_7.mtx,46832,26564,1200537,116.842000,0.086135,27.875707
0039_bcsstm02.mtx,64,66,66,21.948000,0.007586,0.017400
1799_g7jac060sc.mtx,17728,17730,203316,3.029000,0.028647,14.194575
2741_CurlCurl_4.mtx,2380512,2380515,26515867,6710.405000,1.082974,48.968612
0072_lp_sc50b.mtx,48,78,148,0.444000,0.009322,0.031753
2589_pre2.mtx,659024,659033,5959282,207.835000,0.316674,37.636699
2420_TSC_OPF_1047.mtx,8128,8140,2016902,16.922000,0.042230,95.519867
0949_ch7-6-b2.mtx,4192,630,12600,28.982000,0.009114,2.764977
2805_channel-500x100x100-b050.mtx,4802000,4802000,85362744,41480.894000,3.077362,55.477870
1404_kineticBatchReactor_3.mtx,5072,5082,53219,26.237000,0.012614,8.438085
1259_lhr02.mtx,2944,2954,37206,1.483000,0.011694,6.363263
1195_freeFlyingRobot_7.mtx,3904,3918,31046,1.006000,0.011495,5.401653
2435_144.mtx,144640,144649,2148786,56.433000,0.250087,17.184308
0375_p0548.mtx,176,724,1887,47.913000,0.011491,0.328431
0020_ch3-3-b1.mtx,16,9,36,0.449000,0.007471,0.009637
1566_garon1.mtx,3168,3175,88927,1.330000,0.011532,15.422650
1271_dynamicSoaringProblem_8.mtx,3536,3543,38136,10.016000,0.011783,6.473054
2070_c-67b.mtx,57968,57975,531935,18.124000,0.037268,28.546474
1986_g7jac100.mtx,29600,29610,384636,5.350000,0.039649,19.402053
2745_adaptive.mtx,6815744,6815744,27248640,88691.600000,1.598331,34.096367
0513_bfwa398.mtx,384,398,3678,24.764000,0.011091,0.663240
1174_fd12.mtx,7488,7500,28462,49.859000,0.009805,5.805609
2570_tmt_sym.mtx,726704,726713,5080961,216.367000,0.221522,45.873195
1123_cis-n4c6-b3.mtx,5968,1330,23880,1.444000,0.009722,4.912569
0910_adder_dcop_12.mtx,1808,1813,11246,29.093000,0.009658,2.328847
2316_Maragal_8.mtx,33200,75077,1308415,116.166000,0.100707,25.984589
0260_impcol_e.mtx,224,225,1308,0.495000,0.010448,0.250383
2484_roadNet-PA.mtx,1090912,1090920,3083796,574.886000,0.290475,21.232781
2839_nlpkkt200.mtx,16240000,16240000,448225632,519082.075000,12.740592,70.361822
1215_rajat03.mtx,7600,7602,32653,47.392000,0.009396,6.950404
2810_nlpkkt120.mtx,3542400,3542400,96845792,20553.032000,2.726592,71.037979
1496_bibd_14_7.mtx,80,3432,72072,2.527000,0.013056,11.040441
0319_oscil_dcop_27.mtx,416,430,1544,20.798000,0.009934,0.310852
2828_nlpkkt160.mtx,8345600,8345600,229518112,135476.885000,6.368605,72.077986
0158_lpi_ex72a.mtx,192,215,467,11.873000,0.009476,0.098565
1642_g7jac040.mtx,11776,11790,114671,2.054000,0.028170,8.141356
0378_lp_capri.mtx,256,482,1896,0.552000,0.010852,0.349429
1222_poli_large.mtx,15568,15575,33074,1.619000,0.012693,5.211376
1290_spaceShuttleEntry_4.mtx,2448,2450,39669,1.542000,0.012020,6.600499
0529_young3c.mtx,832,841,3988,0.492000,0.009603,0.830574
0505_west0989.mtx,976,989,3537,0.767000,0.010285,0.687798
0234_fs_183_1.mtx,176,183,1069,0.490000,0.012277,0.174147
0897_adder_dcop_26.mtx,1808,1813,11246,1.101000,0.010149,2.216179
0053_lp_afiro.mtx,16,51,102,0.479000,0.009665,0.021107
0613_tols2000.mtx,2000,2000,5184,42.256000,0.010566,0.981261
2348_nemeth25.mtx,9504,9506,1511758,42.759000,0.031918,94.727615
0785_lp_ship12s.mtx,1136,2869,8284,0.994000,0.011163,1.484189
0083_relat4.mtx,64,12,172,0.428000,0.007847,0.043838
2649_atmosmodm.mtx,1489744,1489752,10319760,1766.782000,0.413983,49.855960
2609_nd6k.mtx,18000,18000,6897316,13.918000,0.094505,145.967219
0165_lesmis.mtx,64,77,508,41.988000,0.010005,0.101549
0571_nos7.mtx,720,729,4617,0.496000,0.009292,0.993758
0337_oscil_dcop_40.mtx,416,430,1544,47.826000,0.009973,0.309636
0137_olm100.mtx,96,100,396,0.473000,0.008863,0.089360
2490_net150.mtx,43520,43520,3121200,52.561000,0.106966,58.358731
2251_cont-300.mtx,180880,180895,988195,19.299000,0.059283,33.338225
2358_ch7-9-b4.mtx,317520,105840,1587600,28.602000,0.087590,36.250714
2034_rajat15.mtx,37248,37261,443573,7.591000,0.041858,21.194180
2118_neos1.mtx,131568,133473,599590,11.810000,0.043300,27.694688
2267_IG5-17.mtx,30160,27944,1035008,28.068000,0.080301,25.778209
2508_Chevron3.mtx,381376,381381,3413113,77.869000,0.123174,55.419374
1383_cryg10000.mtx,10000,10000,49699,0.920000,0.009383,10.593414
2568_wiki-Talk.mtx,2394384,2394385,5021410,14335.754000,0.976559,10.283885
1178_c-22.mtx,3792,3792,28872,1.884000,0.012288,4.699219
1641_mark3jac040sc.mtx,18288,18289,113435,2.163000,0.020044,11.318599
1276_G10.mtx,800,800,38352,1.167000,0.010674,7.186060
1490_nopoly.mtx,10768,10774,70842,1.516000,0.012921,10.965405
0547_TF12.mtx,480,552,4231,28.199000,0.011939,0.708770
0073_GD99_c.mtx,96,105,149,0.465000,0.008888,0.033528
1531_lock2232.mtx,2224,2232,80352,33.703000,0.012085,13.297807
1927_crystm02.mtx,13952,13965,322905,1.895000,0.028301,22.819335
1457_bcsstk14.mtx,1792,1806,63454,1.089000,0.012436,10.204889
0210_gre_216b.mtx,208,216,876,21.651000,0.010368,0.168981
0449_nemsafm.mtx,320,2348,2826,3.502000,0.012146,0.465338
0303_oscil_dcop_47.mtx,416,430,1544,22.511000,0.010570,0.292148
1027_ODLIS.mtx,2896,2909,18246,0.857000,0.010165,3.589966
1031_bcsstk09.mtx,1072,1083,18437,28.892000,0.011407,3.232576
1479_lp22.mtx,2944,16392,68518,37.169000,0.028286,4.844658
0252_ch7-6-b1.mtx,624,42,1260,0.775000,0.008632,0.291937
0516_saylr3.mtx,992,1000,3750,0.532000,0.009051,0.828638
2596_rajat30.mtx,643984,643994,6175377,14159.692000,0.376494,32.804650
0761_mahindas.mtx,1248,1258,7682,26.258000,0.011373,1.350919
0560_bcsstk02.mtx,64,66,4356,0.588000,0.009185,0.948503
2656_mycielskian15.mtx,24560,24575,11111110,268.017000,0.285913,77.723713
1132_spaceStation_14.mtx,1632,1640,24324,29.642000,0.010943,4.445582
1502_aa01.mtx,816,8904,72965,2.377000,0.012420,11.749597
1945_n4c6-b12.mtx,25600,69235,332865,3.701000,0.031007,21.470313
0460_bfwb398.mtx,384,398,2910,0.602000,0.010679,0.544995
1182_ACTIVSg2000.mtx,4000,4000,29336,1.162000,0.010383,5.650775
2617_specular.mtx,477968,1600,7647616,27.361000,0.125577,121.799629
1140_G55.mtx,4992,5000,24996,1.054000,0.009970,5.014243
2325_heart1.mtx,3552,3557,1387773,4.494000,0.043254,64.168539
1063_aircraft.mtx,3744,7517,20267,1.160000,0.009243,4.385373
0927_Franz3.mtx,1280,2800,11520,1.092000,0.009340,2.466809
1785_delaunay_n15.mtx,32768,32768,196548,3.131000,0.028348,13.866798
0720_bcsstk19.mtx,816,817,6853,31.538000,0.009984,1.372796
1335_n3c6-b8.mtx,4928,6435,44415,3.582000,0.011142,7.972536
2255_smallworld.mtx,100000,100000,999996,11.694000,0.070691,28.292032
0028_Tina_DisCog.mtx,0,11,48,0.458000,0.000290,0.331034
1630_vsp_p0291_seymourl_iiasa.mtx,10496,10498,107736,29.403000,0.028293,7.615735
1859_cond-mat-2003.mtx,31152,31163,240058,5.678000,0.040558,11.837763
0251_bibd_9_5.mtx,32,126,1260,0.525000,0.011437,0.220338
1120_ex29.mtx,2864,2870,23754,0.595000,0.010239,4.639906
2427_sme3Db.mtx,29056,29067,2081063,64.614000,0.194525,21.396355
1854_ca-HepPh.mtx,12000,12008,237010,5.461000,0.042312,11.202968
2305_msc10848.mtx,10848,10848,1229778,3.570000,0.039290,62.600051
0407_ch5-5-b3.mtx,592,600,2400,4.284000,0.009556,0.502302
2672_CurlCurl_3.mtx,1219568,1219574,13544618,909.525000,0.538269,50.326576
2329_ga2010.mtx,291072,291086,1418056,57.240000,0.165796,17.106034
1678_Wordnet3.mtx,82656,82670,132964,26.206000,0.031487,8.445644
0690_orsirr_2.mtx,880,886,5970,27.423000,0.009588,1.245307
0401_mhdb416.mtx,416,416,2312,0.490000,0.009907,0.466741
0087_GD98_b.mtx,112,121,207,0.473000,0.009284,0.044593
0775_lp_sierra.mtx,1216,2735,8001,0.967000,0.011449,1.397677
2501_stat96v3.mtx,33840,1113780,3317736,29.046000,0.138984,47.742704
1898_raefsky1.mtx,3232,3242,294276,29.638000,0.012279,47.931591
0978_n4c5-b4.mtx,2848,1350,14260,17.770000,0.009873,2.888686
0831_dw2048.mtx,2048,2048,10114,1.321000,0.009769,2.070632
0313_oscil_dcop_18.mtx,416,430,1544,28.994000,0.010200,0.302745
1109_G40.mtx,2000,2000,23532,6.178000,0.012463,3.776298
2158_thermomech_TC.mtx,102144,102158,711558,15.382000,0.114067,12.476141
0099_d_dyn1.mtx,80,87,238,0.465000,0.009379,0.050752
2168_G2_circuit.mtx,150096,150102,726674,15.048000,0.054182,26.823447
1507_c-37.mtx,8192,8204,74676,1.870000,0.012820,11.649922
2587_largebasis.mtx,440016,440020,5560100,98.397000,0.151790,73.260426
0598_SmaGri.mtx,1056,1059,4919,0.610000,0.010919,0.900998
2441_exdata_1.mtx,6000,6001,2269501,16.213000,0.046001,98.671811
1737_bayer04.mtx,20544,20545,159082,24.040000,0.012742,24.969706
1287_nasa1824.mtx,1824,1824,39208,1.283000,0.011108,7.059417
0950_Trefethen_700.mtx,688,700,12654,1.007000,0.010403,2.432760
0364_dwt_209.mtx,208,209,1743,0.522000,0.011180,0.311807
