index,mtx,m,n,nnz,cusparse,pixel_time,pixel_gflops
2212,2662_tp-6.mtx,142752,1014301,11537419,0.000,0.886,26.052
2213,1368_PGPgiantcompo.mtx,10680,10680,48632,0.000,0.022,4.415
2214,2326_va2010.mtx,285762,285762,1402128,0.000,0.521,5.384
2215,2268_case39.mtx,40216,40216,1042160,0.000,0.021,99.471
2216,0595_plsk1919.mtx,1919,1919,4831,0.000,0.005,1.814
2217,0705_GL6_D_8.mtx,544,637,6153,0.000,0.005,2.389
2218,2179_Andrews.mtx,60000,60000,760154,0.000,0.388,3.922
2219,0573_rdb800l.mtx,800,800,4640,0.000,0.004,2.065
2220,1456_fd18.mtx,16428,16428,63406,0.000,0.008,15.104
2221,0703_lowThrust_1.mtx,584,584,6133,0.000,0.006,1.906
2222,1428_whitaker3_dual.mtx,19190,19190,57162,0.000,0.009,12.755
2223,0918_adder_dcop_43.mtx,1813,1813,11246,0.000,0.007,3.280
2224,1044_coater1.mtx,1348,1348,19457,0.000,0.006,6.456
2225,1258_reorientation_7.mtx,3057,3057,37150,0.000,0.007,11.144
2226,1462_c-34.mtx,6611,6611,64333,0.000,0.008,15.407
2227,2111_bcsstk33.mtx,8738,8738,591904,0.000,0.018,65.778
2228,0584_hor_131.mtx,434,434,4710,0.000,0.006,1.510
2229,2742_FullChip.mtx,2987012,2987012,26621990,0.000,2.234,23.830
2230,0188_ash331.mtx,331,104,662,0.000,0.004,0.359
2231,0311_oscil_dcop_36.mtx,430,430,1544,0.000,0.005,0.686
2232,0018_n3c4-b4.mtx,6,15,30,0.000,0.003,0.021
2233,2590_Ga3As3H12.mtx,61349,61349,5970947,0.000,0.218,54.850
2234,2522_barrier2-1.mtx,113076,113076,3805068,0.000,0.378,20.137
2235,1738_bcsstk24.mtx,3562,3562,159910,0.000,0.007,43.143
2236,1775_Ill_Stokes.mtx,20896,20896,191368,0.000,0.091,4.208
2237,2464_net125.mtx,36720,36720,2577200,0.000,0.147,34.961
2238,1489_air06.mtx,825,8627,70806,0.000,0.008,17.883
2239,2079_soc-sign-Slashdot090221.mtx,82144,82144,549202,0.000,0.230,4.780
2240,0410_lund_b.mtx,147,147,2441,0.000,0.006,0.871
2241,2763_packing-500x100x100-b050.mtx,2145852,2145852,34976486,0.000,1.643,42.582
2242,2801_bone010.mtx,986703,986703,71666325,0.000,1.420,100.965
