mtx,m,n,nnz,N,time,gflops
1464_Oregon-2.mtx,11904,11806,65460,8,0.045268,23.137103
2105_nemeth16.mtx,9600,9506,587012,8,0.055281,169.900007
1883_s3rmq4m1.mtx,5504,5489,281111,8,0.027102,165.956269
2103_crystm03.mtx,24704,24696,583770,8,0.046495,200.888525
1337_beause.mtx,512,507,44551,8,0.045693,15.600237
1978_vsp_south31_slptsk.mtx,39680,39668,379828,8,0.064180,94.690872
1395_lock1074.mtx,1152,1074,51588,8,0.040922,20.170457
2543_pkustk10.mtx,80768,80676,4308984,8,0.236844,291.093676
2834_uk-2002.mtx,18520576,18520486,298113762,8,26.439665,180.403960
2250_la2010.mtx,204544,204447,980634,8,0.104295,150.439429
0354_lpi_bgdbg1.mtx,384,629,1662,8,0.015059,1.765868
2746_ML_Laplace.mtx,377088,377002,27689972,8,1.763172,251.274191
1012_LeGresley_2508.mtx,2560,2508,16727,8,0.016047,16.678399
2000_ca-AstroPh.mtx,18816,18772,396160,8,0.055946,113.297077
0643_fpga_dcop_04.mtx,1280,1220,5884,8,0.016040,5.869374
2247_co2010.mtx,201088,201062,974574,8,0.070888,219.968013
2218_vsp_vibrobox_scagr7-2c_rlfddd.mtx,77440,77328,871172,8,0.076472,182.273536
0835_IG5-10.mtx,768,976,10273,8,0.019130,8.592295
2252_kneser_10_4_1.mtx,349696,330751,992252,8,0.076681,207.039733
0154_lpi_ex73a.mtx,256,211,457,8,0.013869,0.527213
1110_G39.mtx,2048,2000,23556,8,0.029330,12.850321
0121_impcol_b.mtx,128,59,312,8,0.014002,0.356531
2788_wb-edu.mtx,9845760,9845725,57156537,8,6.002690,152.349128
0716_cr42.mtx,1024,1513,6614,8,0.013958,7.581402
1465_fe_4elt2.mtx,11264,11143,65636,8,0.017152,61.226127
0632_lp_grow15.mtx,384,645,5620,8,0.015062,5.970111
2129_nd2010.mtx,133888,133769,625946,8,0.050870,196.878979
2558_ship_001.mtx,34944,34920,4644230,8,0.265462,279.918181
0735_rdb1250.mtx,1280,1250,7300,8,0.013970,8.360476
0860_adder_dcop_09.mtx,1920,1813,11239,8,0.029244,6.149063
1587_cti.mtx,16896,16840,96464,8,0.018178,84.906076
1713_ccc.mtx,49152,49152,147456,8,0.023205,101.672477
1125_add32.mtx,4992,4960,23884,8,0.016026,23.845323
2094_g7jac140sc.mtx,41600,41490,565956,8,0.043733,207.058993
1683_abtaha2.mtx,38016,331,137228,8,0.021200,103.569396
0145_west0132.mtx,256,132,414,8,0.014013,0.472693
1306_freeFlyingRobot_10.mtx,5248,5218,40080,8,0.013494,47.521935
0610_dwt_607.mtx,640,607,5131,8,0.014223,5.771991
2803_audikw_1.mtx,943744,943695,77651847,8,5.313027,233.845914
1506_xingo3012.mtx,20992,20944,74386,8,0.019731,60.319200
2669_test1.mtx,392960,392908,12968200,8,0.717383,289.233425
0394_gre_512.mtx,512,512,2192,8,0.013487,2.600422
0452_ck400.mtx,512,400,2860,8,0.013992,3.270455
1615_psse0.mtx,26752,11028,102432,8,0.018963,86.425336
1475_powersim.mtx,15872,15838,67562,8,0.019939,54.215717
0285_oscil_dcop_38.mtx,512,430,1544,8,0.014031,1.760672
1800_g7jac060.mtx,17792,17730,203316,8,0.023996,135.566773
2241_crplat2.mtx,18048,18010,960946,8,0.063761,241.135816
1801_vsp_barth5_1Ksep_50in_5Kout.mtx,32256,32212,203610,8,0.025135,129.609802
0635_plat362.mtx,384,362,5786,8,0.014947,6.193415
1385_mbeacxc.mtx,512,496,49920,8,0.043378,18.413054
0437_fs_680_1.mtx,768,680,2646,8,0.014025,3.018584
2273_ts-palko.mtx,22016,47235,1076903,8,0.099553,173.078878
2015_onera_dual.mtx,85632,85567,419201,8,0.036261,184.972355
0880_adder_dcop_62.mtx,1920,1813,11246,8,0.029143,6.174188
0326_oscil_dcop_32.mtx,512,430,1544,8,0.014021,1.761901
2042_OPF_10000.mtx,43904,43887,467711,8,0.042451,176.284373
2230_ne2010.mtx,193408,193352,913854,8,0.066178,220.945606
0523_can_445.mtx,512,445,3809,8,0.013955,4.367318
1451_c-35.mtx,6656,6537,62891,8,0.044144,22.794622
1870_a5esindl.mtx,60032,60008,255004,8,0.052869,77.173240
2398_appu.mtx,14080,14000,1853104,8,0.116810,253.828719
2342_web-NotreDame.mtx,325760,325729,1497134,8,0.188740,126.915859
0379_west0479.mtx,512,479,1910,8,0.014013,2.180769
0806_laser.mtx,3072,3002,9000,8,0.014039,10.256901
1631_co9.mtx,10880,22924,109651,8,0.048574,36.118072
2582_para-8.mtx,156032,155924,5416358,8,0.306507,282.739378
2515_parabolic_fem.mtx,525952,525825,3674625,8,0.218091,269.584546
2307_amazon0302.mtx,262144,262111,1234877,8,0.080577,245.207938
0816_G16.mtx,896,800,9344,8,0.022198,6.735113
1539_gen2.mtx,1152,3264,81855,8,0.023745,55.155753
0759_model2.mtx,384,1321,7607,8,0.016445,7.401073
0168_lnsp_131.mtx,256,131,536,8,0.014069,0.609584
2276_dbic1.mtx,43264,226317,1081843,8,0.082409,210.043358
2214_ch7-8-b5.mtx,141184,141120,846720,8,0.057877,234.074622
2238_soc-Slashdot0902.mtx,82176,82168,948464,8,0.090165,168.308049
2344_boyd2.mtx,466432,466316,1500397,8,0.146907,163.411854
1567_jendrec1.mtx,2176,4228,89608,8,0.019146,74.883882
0440_tumorAntiAngiogenesis_2.mtx,384,305,2699,8,0.030242,1.427924
1578_ex26.mtx,2176,2163,94033,8,0.024753,60.782526
2786_hugebubbles-00000.mtx,18318208,18318143,54940162,8,8.661081,101.493408
2155_ch7-8-b4.mtx,141184,58800,705600,8,0.052594,214.656382
1760_epb2.mtx,25344,25228,175027,8,0.027863,100.505436
0646_fpga_dcop_29.mtx,1280,1220,5892,8,0.016054,5.872246
0537_1138_bus.mtx,1152,1138,4054,8,0.014656,4.425851
2037_tandem_dual.mtx,94080,94069,460493,8,0.039454,186.747424
0862_adder_dcop_11.mtx,1920,1813,11243,8,0.030160,5.964482
0275_dwt_245.mtx,256,245,1461,8,0.013930,1.678068
1285_jan99jac020.mtx,6784,6774,38692,8,0.019994,30.962666
0481_str_400.mtx,384,363,3157,8,0.016033,3.150409
1993_nemeth03.mtx,9600,9506,394808,8,0.042099,150.049901
1550_bcsstk13.mtx,2048,2003,83883,8,0.029508,45.483677
1400_aa4.mtx,512,7195,52121,8,0.032617,25.567783
2017_cit-HepPh.mtx,34560,34546,421578,8,0.052393,128.743011
0192_bcsstk22.mtx,256,138,696,8,0.013972,0.796999
0997_c-18.mtx,2176,2169,15145,8,0.027154,8.923868
0298_oscil_dcop_22.mtx,512,430,1544,8,0.014086,1.753844
1790_lowThrust_5.mtx,16384,16262,198369,8,0.029812,106.463974
2405_conf6_0-8x8-80.mtx,49152,49152,1916928,8,0.116693,262.834470
2651_crankseg_1.mtx,52864,52804,10614210,8,0.610189,278.319498
1017_rbsb480.mtx,512,480,17088,8,0.016092,16.990137
1839_mark3jac080sc.mtx,36736,36609,227955,8,0.028410,128.379642
1355_Franz4.mtx,6784,5252,46528,8,0.016098,46.243786
0829_can_838.mtx,896,838,10010,8,0.015697,10.203478
0696_dwt_503.mtx,512,503,6027,8,0.015019,6.420609
2249_or2010.mtx,196736,196621,979512,8,0.070309,222.905229
1944_usroads.mtx,129280,129164,330870,8,0.034540,153.268828
0528_tumorAntiAngiogenesis_3.mtx,512,410,3952,8,0.038744,1.632037
0633_rdb968.mtx,1024,968,5632,8,0.013910,6.478180
0382_mk11-b1.mtx,1024,55,1980,8,0.013198,2.400273
0289_oscil_dcop_21.mtx,512,430,1544,8,0.014136,1.747567
0268_n2c6-b2.mtx,512,105,1365,8,0.013841,1.577903
1865_rajat26.mtx,51072,51032,249302,8,0.060455,65.980664
1236_cell1.mtx,7168,7055,34855,8,0.015139,36.837677
0093_divorce.mtx,128,9,225,8,0.014054,0.256149
2836_Queen_4147.mtx,4147200,4147110,329499284,8,25.030723,210.620707
1907_dixmaanl.mtx,60032,60000,299998,8,0.029410,163.207017
0205_grid1_dual.mtx,256,224,840,8,0.013669,0.983240
1234_c-26.mtx,4352,4307,34537,8,0.046987,11.760439
1606_piston.mtx,2048,2025,100015,8,0.043338,36.924516
2578_cont11_l.mtx,1468672,1961394,5382999,8,0.534856,161.030325
0424_lp_etamacro.mtx,512,816,2537,8,0.015067,2.694167
0747_scrs8-2b.mtx,1920,3499,7367,8,0.014790,7.969873
2816_hollywood-2009.mtx,1139968,1139905,113891327,8,8.142210,223.804243
0921_adder_dcop_49.mtx,1920,1813,11246,8,0.030092,5.979548
0934_G52.mtx,1024,1000,11832,8,0.027284,6.938605
0413_dwt_310.mtx,384,310,2448,8,0.014029,2.791952
1904_finance256.mtx,37376,37376,298496,8,0.031382,152.185639
1827_bcsstk28.mtx,4480,4410,219024,8,0.047868,73.208640
0133_west0156.mtx,256,156,371,8,0.013826,0.429339
1376_rajat13.mtx,7680,7598,48922,8,0.032957,23.750827
2113_GL7d24.mtx,21120,105054,593892,8,0.068621,138.474515
0534_lp_stair.mtx,384,614,4003,8,0.016090,3.980494
0439_mcca.mtx,256,180,2659,8,0.009756,4.360861
1071_mk11-b2.mtx,7040,990,20790,8,0.015010,22.161580
1740_lock3491.mtx,3584,3491,160444,8,0.040486,63.406577
0701_delaunay_n10.mtx,1024,1024,6112,8,0.013959,7.005543
0678_fpga_dcop_13.mtx,1280,1220,5892,8,0.016407,5.746005
1041_wang1.mtx,2944,2903,19093,8,0.014786,20.660245
2092_Goodwin_040.mtx,18048,17922,561677,8,0.040056,224.355449
1312_mk12-b2.mtx,13952,1485,41580,8,0.016791,39.621660
0855_TF13.mtx,1152,1302,11185,8,0.016020,11.171349
2161_cyl6.mtx,13696,13681,714241,8,0.103932,109.955565
0596_bp_1600.mtx,896,822,4841,8,0.039617,1.955138
1324_freeFlyingRobot_15.mtx,6144,6038,43378,8,0.023491,29.544659
0568_IG5-9.mtx,384,540,4570,8,0.018060,4.048820
0935_G54.mtx,1024,1000,11832,8,0.024286,7.794980
1645_ex31.mtx,3968,3909,115357,8,0.029707,62.129587
1940_inlet.mtx,11776,11730,328323,8,0.028654,183.331360
2621_shipsec1.mtx,140928,140874,7813404,8,0.436755,286.235029
2430_mc2depi.mtx,525952,525825,2100225,8,0.153296,219.207559
1157_as-735.mtx,7808,7716,26467,8,0.041613,10.176453
2154_md2010.mtx,145280,145247,700378,8,0.053154,210.821592
2731_Freescale2.mtx,2999424,2999349,23042677,8,2.079668,177.279642
1373_ex24.mtx,2304,2283,48737,8,0.017994,43.336647
0730_bcsstm07.mtx,512,420,7252,8,0.015123,7.672385
0098_d_dyn.mtx,128,87,238,8,0.013344,0.285367
0422_dwt_307.mtx,384,307,2523,8,0.013991,2.885288
2607_TSOPF_RS_b2052_c1.mtx,25728,25626,6761100,8,0.427563,253.009650
0538_celegans_metabolic.mtx,512,453,4065,8,0.023881,2.723534
1559_t2d_q9.mtx,9856,9801,87025,8,0.018127,76.815186
1039_polblogs.mtx,1536,1490,19025,8,0.025569,11.905060
2197_pkustk02.mtx,10880,10800,810000,8,0.061780,209.776627
2227_nw14.mtx,128,123409,904910,8,0.089460,161.843315
2500_wiki-talk-temporal.mtx,1140224,1140149,3309592,8,0.460435,115.007508
2090_k1_san.mtx,67840,67759,559774,8,0.043679,205.050227
1301_G22.mtx,2048,2000,39980,8,0.016917,37.812154
1106_lp_80bau3b.mtx,2304,12061,23264,8,0.022057,16.875580
1328_flower_5_4.mtx,5248,14721,43942,8,0.016276,43.195665
0140_bcsstk01.mtx,128,48,400,8,0.013902,0.460374
0983_adder_trans_02.mtx,1920,1814,14579,8,0.045897,5.082284
1074_swang2.mtx,3200,3169,20841,8,0.014967,22.278926
2540_pkustk04.mtx,55680,55590,4218660,8,0.246352,273.992303
2204_nj2010.mtx,169600,169588,829912,8,0.059251,224.107445
0233_fs_183_6.mtx,256,183,1069,8,0.018070,0.946527
1304_n2c6-b6.mtx,5760,4945,40005,8,0.015910,40.232313
0180_Sandi_sandi.mtx,384,360,613,8,0.015049,0.651719
0694_bfwb782.mtx,896,782,5982,8,0.014851,6.444704
1321_Alemdar.mtx,6272,6245,42581,8,0.016413,41.508908
1716_TSOPF_FS_b9_c6.mtx,14464,14454,147972,8,0.026208,90.337549
1171_bayer07.mtx,3328,3268,27836,8,0.020115,22.141830
2735_germany_osm.mtx,11548928,11548845,24738362,8,3.745176,105.686288
0604_rel6.mtx,2432,157,5101,8,0.014052,5.808141
1450_mk12-b5.mtx,10496,62370,62370,8,0.016939,58.912763
1899_sinc12.mtx,7552,7500,294986,8,0.032329,145.991767
2164_c-64.mtx,51072,51035,717841,8,0.069623,164.966611
2417_mixtank_new.mtx,30080,29957,1995041,8,0.113170,282.059222
0046_problem.mtx,128,46,86,8,0.013989,0.098360
0174_can_61.mtx,128,61,557,8,0.014993,0.594422
0433_lp_grow7.mtx,256,301,2612,8,0.015043,2.778227
1011_lp_pds_02.mtx,3072,7716,16571,8,0.021205,12.503471
1149_lp_degen3.mtx,1536,2604,25432,8,0.024241,16.786422
2641_gupta3.mtx,16896,16783,9323427,8,0.538339,277.101862
0639_fpga_dcop_07.mtx,1280,1220,5855,8,0.016146,5.802085
0847_lpi_cplex1.mtx,3072,5224,10947,8,0.049926,3.508204
0969_CAG_mat364.mtx,384,364,13585,8,0.028594,7.601616
2664_fullb.mtx,199296,199187,11708077,8,0.669964,279.610906
2278_ex11.mtx,16640,16614,1096948,8,0.068821,255.027437
0888_adder_dcop_48.mtx,1920,1813,11246,8,0.029338,6.133196
1223_lp_d2q06c.mtx,2176,5831,33081,8,0.016642,31.805168
2738_dielFilterV2clx.mtx,607232,607232,25309272,8,1.522453,265.984074
1139_email-Eu-core-temporal.mtx,1024,1005,24929,8,0.031033,12.852955
1533_kineticBatchReactor_5.mtx,7680,7641,80767,8,0.029931,43.175070
0562_pde900.mtx,1024,900,4380,8,0.013990,5.009206
0222_ck104.mtx,128,104,992,8,0.013971,1.136075
2728_CoupCons3D.mtx,416896,416800,22322336,8,1.253161,285.005094
1846_lp_pds_20.mtx,33920,108175,232647,8,0.031884,116.747175
1199_c-23.mtx,4096,3969,31079,8,0.034744,14.312345
1999_nemeth09.mtx,9600,9506,395506,8,0.042101,150.307184
