mtx,m,n,nnz,N,time,gflops
1579_stormg2-27.mtx,14464,37485,94274,8,0.036198,41.670866
0050_GD95_b.mtx,128,73,96,8,0.016807,0.091389
0107_wheel_6_1.mtx,128,85,254,8,0.015458,0.262907
1108_G36.mtx,2048,2000,23532,8,0.054189,6.948176
1429_ex10hs.mtx,2560,2548,57308,8,0.036772,24.935603
2295_az2010.mtx,241792,241666,1196094,8,0.175376,109.122967
2150_rgg_n_2_16_s0.mtx,65536,65536,684254,8,0.103163,106.123866
2781_hugetrace-00020.mtx,16002432,16002413,47997626,8,8.676593,88.509626
0162_bcsstm20.mtx,512,485,485,8,0.015203,0.510422
1769_nemsemm2.mtx,7040,48878,182012,8,0.059179,49.209882
0441_lshp_406.mtx,512,406,2716,8,0.016227,2.677936
0411_lp_israel.mtx,256,316,2443,8,0.025766,1.517037
2684_higgs-twitter.mtx,456704,456626,14855842,8,1.715733,138.537585
2709_human_gene2.mtx,14464,14340,18068388,8,2.245056,128.769284
0621_dynamicSoaringProblem_1.mtx,768,647,5367,8,0.039928,2.150692
0084_pores_1.mtx,128,30,180,8,0.015409,0.186903
1772_ca-CondMat.mtx,23168,23133,186936,8,0.065411,45.725814
2630_Ge99H100.mtx,113024,112985,8451395,8,0.994176,136.014468
0542_nos2.mtx,1024,957,4137,8,0.015928,4.155767
2045_nemeth13.mtx,9600,9506,474472,8,0.074077,102.481517
1812_mk12-b3.mtx,52096,13860,207900,8,0.048361,68.782890
1689_cavity21.mtx,4608,4562,138187,8,0.034787,63.557396
0443_lp_finnis.mtx,512,1064,2760,8,0.019058,2.317077
1545_jan99jac040.mtx,13696,13694,82842,8,0.035799,37.025053
0076_bcsstm05.mtx,256,153,153,8,0.015422,0.158733
2131_mt2010.mtx,132352,132288,638668,8,0.105090,97.237359
1970_bibd_16_8.mtx,128,12870,360360,8,0.089636,64.323948
0290_oscil_dcop_25.mtx,512,430,1544,8,0.016356,1.510423
0605_spaceStation_3.mtx,512,467,5103,8,0.021454,3.805766
2549_TSOPF_RS_b678_c1.mtx,18816,18696,4396289,8,0.560785,125.432334
0737_reorientation_1.mtx,768,677,7326,8,0.029448,3.980414
0169_lns_131.mtx,256,131,536,8,0.015853,0.540986
0832_lp_maros.mtx,896,1966,10137,8,0.031316,5.179153
1825_ABACUS_shell_ld.mtx,23424,23412,218484,8,0.047520,73.564379
1230_G60.mtx,7040,7000,34296,8,0.020414,26.880903
2638_CurlCurl_2.mtx,806656,806529,8921789,8,1.049455,136.021621
1367_circuit_3.mtx,12160,12127,48137,8,0.043679,17.632898
1275_G6.mtx,896,800,38352,8,0.027402,22.393498
2387_bbmat.mtx,38784,38744,1771722,8,0.225081,125.943589
2202_TSC_OPF_300.mtx,9856,9774,820804,8,0.116309,112.913573
0160_bcspwr03.mtx,128,118,476,8,0.015615,0.487743
2125_TSOPF_FS_b162_c1.mtx,10880,10798,608540,8,0.102146,95.320770
2743_F1.mtx,343808,343791,26837113,8,3.067510,139.981238
1912_Na5.mtx,5888,5832,305630,8,0.086167,56.751144
2128_c-69.mtx,67584,67458,623970,8,0.116487,85.704889
1468_aa5.mtx,896,8308,65953,8,0.050633,20.841234
2807_Long_Coup_dt0.mtx,1470208,1470152,87088992,8,9.998572,139.362289
0331_oscil_dcop_48.mtx,512,430,1544,8,0.016375,1.508670
0618_bcspwr06.mtx,1536,1454,5300,8,0.016340,5.189871
1743_c-48.mtx,18432,18354,166080,8,0.075965,34.980338
0497_qh882.mtx,896,882,3354,8,0.016345,3.283182
1278_G9.mtx,896,800,38352,8,0.022544,27.219652
0977_Erdos972.mtx,5504,5488,14170,8,0.021646,10.474200
0138_tub100.mtx,128,100,396,8,0.015301,0.414087
1469_lpi_bgindy.mtx,2688,10880,66266,8,0.059822,17.723489
1708_lp_maros_r7.mtx,3200,9408,144848,8,0.045121,51.363956
1091_bcsstk10.mtx,1152,1086,22070,8,0.019173,18.417820
2773_dgreen.mtx,1200640,1200611,38259877,8,4.322142,141.633012
0193_will199.mtx,256,199,701,8,0.015612,0.718404
1022_reorientation_2.mtx,1664,1544,17910,8,0.060294,4.752700
1054_G46.mtx,1024,1000,19980,8,0.019540,16.360554
0854_deter0.mtx,2048,5468,11173,8,0.018699,9.560277
1302_p2p-Gnutella04.mtx,10880,10879,39994,8,0.036492,17.535690
2597_marine1.mtx,400384,400320,6226538,8,0.727977,136.851290
0887_adder_dcop_29.mtx,1920,1813,11246,8,0.039447,4.561517
1175_stormg2-8.mtx,4480,11322,28553,8,0.023232,19.664817
1823_ABACUS_shell_md.mtx,23424,23412,218484,8,0.047324,73.867613
0124_dwt_66.mtx,128,66,320,8,0.015417,0.332101
0119_mesh1em1.mtx,128,48,306,8,0.015641,0.313025
2217_c-71.mtx,76672,76638,859554,8,0.126964,108.321216
0325_oscil_dcop_08.mtx,512,430,1544,8,0.016441,1.502595
1974_c-53.mtx,30336,30235,372213,8,0.098826,60.261405
1750_f855_mat9_I.mtx,2560,2511,171214,8,0.081256,33.713565
2415_coAuthorsDBLP.mtx,299136,299067,1955352,8,0.371794,84.147814
2353_sparsine.mtx,50048,50000,1548988,8,0.203359,121.871981
1038_spaceStation_11.mtx,1408,1364,18954,8,0.038009,7.978683
1819_jan99jac100.mtx,34560,34454,215862,8,0.055086,62.697726
0833_M80PI_n.mtx,4224,4182,10261,8,0.017460,9.403151
2704_af_shell1.mtx,504960,504855,17588875,8,1.999836,140.722524
1080_bcsstk34.mtx,640,588,21418,8,0.044015,7.785623
1629_lp_pds_10.mtx,16640,49932,107605,8,0.041406,41.580592
2588_Goodwin_127.mtx,178560,178437,5778545,8,0.668721,138.259001
2605_shipsec8.mtx,114944,114919,6653399,8,0.791556,134.487479
2436_gupta1.mtx,31872,31802,2164210,8,0.303859,113.958761
0739_cavity03.mtx,384,317,7327,8,0.015348,7.638403
0446_problem1.mtx,512,415,2779,8,0.016504,2.694062
0436_fs_680_3.mtx,768,680,2646,8,0.016333,2.592064
2794_Hook_1498.mtx,1498112,1498023,60917445,8,6.907776,141.098834
1073_lshp3025.mtx,3072,3025,20833,8,0.018416,18.100102
2566_ecology2.mtx,1000064,999999,4995991,8,0.666757,119.887477
1535_relat7.mtx,22016,1045,81355,8,0.036241,35.917276
2296_Maragal_7.mtx,46848,26564,1200537,8,0.209922,91.503453
0039_bcsstm02.mtx,128,66,66,8,0.015384,0.068643
1799_g7jac060sc.mtx,17792,17730,203316,8,0.053286,61.049110
2741_CurlCurl_4.mtx,2380544,2380515,26515867,8,3.073891,138.018501
0072_lp_sc50b.mtx,128,78,148,8,0.015487,0.152899
2589_pre2.mtx,659072,659033,5959282,8,0.719471,132.525935
2420_TSC_OPF_1047.mtx,8192,8140,2016902,8,0.308436,104.626032
0949_ch7-6-b2.mtx,4224,630,12600,8,0.017353,11.617507
2805_channel-500x100x100-b050.mtx,4802048,4802000,85362744,8,9.661893,141.359868
1404_kineticBatchReactor_3.mtx,5120,5082,53219,8,0.047769,17.825610
1259_lhr02.mtx,3072,2954,37206,8,0.022969,25.916979
1195_freeFlyingRobot_7.mtx,3968,3918,31046,8,0.094599,5.250959
2435_144.mtx,144768,144649,2148786,8,0.265243,129.618973
0375_p0548.mtx,256,724,1887,8,0.033812,0.892939
0020_ch3-3-b1.mtx,128,9,36,8,0.015158,0.038001
1566_garon1.mtx,3200,3175,88927,8,0.036810,38.653493
1271_dynamicSoaringProblem_8.mtx,3584,3543,38136,8,0.039032,15.632789
2070_c-67b.mtx,57984,57975,531935,8,0.125762,67.675381
1986_g7jac100.mtx,29696,29610,384636,8,0.068872,89.356469
2745_adaptive.mtx,6815744,6815744,27248640,8,3.540542,123.138859
0513_bfwa398.mtx,512,398,3678,8,0.017578,3.347806
1174_fd12.mtx,7552,7500,28462,8,0.018899,24.096447
2570_tmt_sym.mtx,726784,726713,5080961,8,0.614309,132.336254
1123_cis-n4c6-b3.mtx,6016,1330,23880,8,0.018400,20.765398
0910_adder_dcop_12.mtx,1920,1813,11246,8,0.039246,4.584845
2316_Maragal_8.mtx,33280,75077,1308415,8,0.209614,99.872421
0260_impcol_e.mtx,256,225,1308,8,0.016413,1.275085
2484_roadNet-PA.mtx,1090944,1090920,3083796,8,0.530028,93.090895
2839_nlpkkt200.mtx,16240000,16240000,448225632,8,50.196867,142.869677
1215_rajat03.mtx,7680,7602,32653,8,0.026969,19.371921
2810_nlpkkt120.mtx,3542400,3542400,96845792,8,10.875323,142.481527
1496_bibd_14_7.mtx,128,3432,72072,8,0.051259,22.496727
0319_oscil_dcop_27.mtx,512,430,1544,8,0.016793,1.471095
2828_nlpkkt160.mtx,8345600,8345600,229518112,8,25.740125,142.667909
0158_lpi_ex72a.mtx,256,215,467,8,0.015343,0.486992
1642_g7jac040.mtx,11904,11790,114671,8,0.034833,52.671733
0378_lp_capri.mtx,384,482,1896,8,0.019300,1.571837
1222_poli_large.mtx,15616,15575,33074,8,0.073749,7.175484
1290_spaceShuttleEntry_4.mtx,2560,2450,39669,8,0.034003,18.666148
0529_young3c.mtx,896,841,3988,8,0.015673,4.071124
0505_west0989.mtx,1024,989,3537,8,0.016463,3.437592
0234_fs_183_1.mtx,256,183,1069,8,0.020891,0.818712
0897_adder_dcop_26.mtx,1920,1813,11246,8,0.041055,4.382779
0053_lp_afiro.mtx,128,51,102,8,0.016344,0.099856
0613_tols2000.mtx,2048,2000,5184,8,0.036502,2.272299
2348_nemeth25.mtx,9600,9506,1511758,8,0.219858,110.017023
0785_lp_ship12s.mtx,1152,2869,8284,8,0.020447,6.482348
0083_relat4.mtx,128,12,172,8,0.015261,0.180329
2649_atmosmodm.mtx,1489792,1489752,10319760,8,1.264621,130.565692
2609_nd6k.mtx,18048,18000,6897316,8,0.844797,130.631460
0165_lesmis.mtx,128,77,508,8,0.018520,0.438869
0571_nos7.mtx,768,729,4617,8,0.016344,4.519744
0337_oscil_dcop_40.mtx,512,430,1544,8,0.016278,1.517642
0137_olm100.mtx,128,100,396,8,0.015271,0.414893
2490_net150.mtx,43520,43520,3121200,8,0.382059,130.710754
2251_cont-300.mtx,180992,180895,988195,8,0.139108,113.660387
2358_ch7-9-b4.mtx,317568,105840,1587600,8,0.225539,112.626178
2034_rajat15.mtx,37376,37261,443573,8,0.100498,70.619690
2118_neos1.mtx,131584,133473,599590,8,0.104886,91.465135
2267_IG5-17.mtx,30208,27944,1035008,8,0.136300,121.497725
2508_Chevron3.mtx,381440,381381,3413113,8,0.415503,131.430667
1383_cryg10000.mtx,10112,10000,49699,8,0.021503,36.980459
2568_wiki-Talk.mtx,2394496,2394385,5021410,8,1.303744,61.624496
1178_c-22.mtx,3840,3792,28872,8,0.040756,11.334701
1641_mark3jac040sc.mtx,18304,18289,113435,8,0.035481,51.153577
1276_G10.mtx,896,800,38352,8,0.022140,27.716029
1490_nopoly.mtx,10880,10774,70842,8,0.030222,37.505162
0547_TF12.mtx,512,552,4231,8,0.017501,3.868131
0073_GD99_c.mtx,128,105,149,8,0.015545,0.153358
1531_lock2232.mtx,2304,2232,80352,8,0.052684,24.402658
1927_crystm02.mtx,14080,13965,322905,8,0.056565,91.337627
1457_bcsstk14.mtx,1920,1806,63454,8,0.047376,21.430082
0210_gre_216b.mtx,256,216,876,8,0.015464,0.906359
0449_nemsafm.mtx,384,2348,2826,8,0.016461,2.746879
0303_oscil_dcop_47.mtx,512,430,1544,8,0.016462,1.500655
1027_ODLIS.mtx,2944,2909,18246,8,0.020442,14.281376
1031_bcsstk09.mtx,1152,1083,18437,8,0.017762,16.607905
1479_lp22.mtx,3072,16392,68518,8,0.036707,29.865800
0252_ch7-6-b1.mtx,640,42,1260,8,0.016538,1.219036
0516_saylr3.mtx,1024,1000,3750,8,0.016370,3.665281
2596_rajat30.mtx,644096,643994,6175377,8,0.775624,127.389139
0761_mahindas.mtx,1280,1258,7682,8,0.035581,3.454401
0560_bcsstk02.mtx,128,66,4356,8,0.027175,2.564719
2656_mycielskian15.mtx,24576,24575,11111110,8,1.370042,129.760853
1132_spaceStation_14.mtx,1664,1640,24324,8,0.045231,8.604424
1502_aa01.mtx,896,8904,72965,8,0.046214,25.261530
1945_n4c6-b12.mtx,25728,69235,332865,8,0.057514,92.600526
0460_bfwb398.mtx,512,398,2910,8,0.016582,2.807829
1182_ACTIVSg2000.mtx,4096,4000,29336,8,0.020678,22.699347
2617_specular.mtx,478080,1600,7647616,8,0.883339,138.522026
1140_G55.mtx,5120,5000,24996,8,0.018814,21.257488
2325_heart1.mtx,3584,3557,1387773,8,0.206750,107.397326
1063_aircraft.mtx,3840,7517,20267,8,0.017956,18.059353
0927_Franz3.mtx,1280,2800,11520,8,0.016426,11.221573
1785_delaunay_n15.mtx,32768,32768,196548,8,0.046790,67.210236
0720_bcsstk19.mtx,896,817,6853,8,0.016518,6.637944
1335_n3c6-b8.mtx,4992,6435,44415,8,0.020844,34.092950
2255_smallworld.mtx,100096,100000,999996,8,0.142000,112.675834
0028_Tina_DisCog.mtx,128,11,48,8,0.015842,0.048479
1630_vsp_p0291_seymourl_iiasa.mtx,10624,10498,107736,8,0.045901,37.554378
1859_cond-mat-2003.mtx,31232,31163,240058,8,0.057603,66.679629
0251_bibd_9_5.mtx,128,126,1260,8,0.016290,1.237585
1120_ex29.mtx,2944,2870,23754,8,0.018746,20.274769
2427_sme3Db.mtx,29184,29067,2081063,8,0.258162,128.977353
1854_ca-HepPh.mtx,12032,12008,237010,8,0.071284,53.198126
2305_msc10848.mtx,10880,10848,1229778,8,0.183060,107.486540
0407_ch5-5-b3.mtx,640,600,2400,8,0.015575,2.465554
2672_CurlCurl_3.mtx,1219584,1219574,13544618,8,1.585852,136.654562
2329_ga2010.mtx,291200,291086,1418056,8,0.202267,112.173048
1678_Wordnet3.mtx,82688,82670,132964,8,0.055220,38.525996
0690_orsirr_2.mtx,896,886,5970,8,0.016642,5.739667
0401_mhdb416.mtx,512,416,2312,8,0.016243,2.277429
0087_GD98_b.mtx,128,121,207,8,0.016134,0.205287
0775_lp_sierra.mtx,1280,2735,8001,8,0.017562,7.289249
2501_stat96v3.mtx,33920,1113780,3317736,8,0.409386,129.666965
1898_raefsky1.mtx,3328,3242,294276,8,0.076098,61.872992
0978_n4c5-b4.mtx,2944,1350,14260,8,0.018035,12.651086
0831_dw2048.mtx,2048,2048,10114,8,0.020466,7.907085
0313_oscil_dcop_18.mtx,512,430,1544,8,0.016852,1.465933
1109_G40.mtx,2048,2000,23532,8,0.057233,6.578598
2158_thermomech_TC.mtx,102272,102158,711558,8,0.131950,86.282294
0099_d_dyn1.mtx,128,87,238,8,0.016878,0.225619
2168_G2_circuit.mtx,150144,150102,726674,8,0.111560,104.219947
1507_c-37.mtx,8320,8204,74676,8,0.033515,35.650314
2587_largebasis.mtx,440064,440020,5560100,8,0.653235,136.186237
0598_SmaGri.mtx,1152,1059,4919,8,0.039614,1.986749
2441_exdata_1.mtx,6016,6001,2269501,8,0.336419,107.936935
1737_bayer04.mtx,20608,20545,159082,8,0.043466,58.558970
1287_nasa1824.mtx,1920,1824,39208,8,0.026105,24.031313
0950_Trefethen_700.mtx,768,700,12654,8,0.018170,11.142498
0364_dwt_209.mtx,256,209,1743,8,0.020125,1.385766
1232_shar_te2-b1.mtx,17280,286,34320,8,0.021399,25.660811
0419_lp_bandm.mtx,384,472,2494,8,0.028086,1.420769
2071_Maragal_6.mtx,21376,10152,537694,8,0.131586,65.379999
1991_delaunay_n16.mtx,65536,65536,393150,8,0.070654,89.030629
0631_lp_bnl1.mtx,768,1586,5532,8,0.036099,2.451910
2051_rajat18.mtx,94336,94294,485143,8,0.131550,59.006263
2248_pkustk01.mtx,22144,22044,979380,8,0.136340,114.933439
1245_Trec11.mtx,256,1138,35705,8,0.068180,8.379001
2519_s3dkt3m2.mtx,90496,90449,3753461,8,0.477021,125.896842
1187_n3c6-b5.mtx,5120,3003,30030,8,0.019077,25.186614
0118_mesh1e1.mtx,128,48,306,8,0.016345,0.299539
2137_Trec13.mtx,1408,6561,654517,8,0.133147,78.652180
0294_oscil_dcop_11.mtx,512,430,1544,8,0.016375,1.508605
2606_boneS01.mtx,127232,127224,6715152,8,0.777341,138.217962
1055_G45.mtx,1024,1000,19980,8,0.019333,16.535273
0976_orsreg_1.mtx,2304,2205,14133,8,0.017287,13.080709
1549_utm5940.mtx,6016,5940,83842,8,0.036674,36.578332
1918_mk12-b4.mtx,62464,51975,311850,8,0.064438,77.432437
0450_Erdos991.mtx,512,492,2834,8,0.019429,2.333828
1661_cvxqp3.mtx,17536,17500,122462,8,0.036578,53.567335
1446_testbig.mtx,17664,31223,61639,8,0.039697,24.844097
2139_g7jac160sc.mtx,47488,47430,656616,8,0.196978,53.335092
1659_foldoc.mtx,13440,13356,120238,8,0.043923,43.799263
0217_lop163.mtx,256,163,935,8,0.022039,0.678811
1670_jan99jac060sc.mtx,20736,20614,127182,8,0.051725,39.340715
1143_TSOPF_FS_b9_c1.mtx,2560,2454,25032,8,0.049833,8.037132
1313_cage9.mtx,3584,3534,41594,8,0.026786,24.845500
2138_g7jac160.mtx,47488,47430,656616,8,0.123288,85.214248
0752_lung1.mtx,1664,1650,7419,8,0.017098,6.942482
0468_bibd_12_4.mtx,128,495,2970,8,0.021990,2.160943
0518_mk9-b2.mtx,1280,378,3780,8,0.020286,2.981383
0195_n3c6-b11.mtx,128,675,720,8,0.017406,0.661839
1834_lowThrust_11.mtx,18432,18368,223801,8,0.102101,35.071314
1102_ex22.mtx,896,839,22715,8,0.028497,12.753727
1753_jan99jac080sc.mtx,27648,27534,171522,8,0.053804,51.006195
1013_dwt_992.mtx,1024,992,16744,8,0.021100,12.697161
0033_GD95_a.mtx,128,36,57,8,0.019403,0.047002
1098_saylr4.mtx,3584,3564,22316,8,0.020263,17.620964
2098_mri2.mtx,63360,147456,569160,8,0.093549,97.345157
0623_rajat19.mtx,1280,1157,5399,8,0.054270,1.591760
2528_xenon2.mtx,157568,157464,3866688,8,0.500155,123.695645
0517_steam1.mtx,256,240,3762,8,0.019212,3.133073
2272_3D_51448_3D.mtx,51456,51448,1056610,8,0.213110,79.328887
1543_lhr04c.mtx,4224,4101,82682,8,0.062542,21.152437
2147_heart2.mtx,2432,2339,682797,8,0.169337,64.514919
0361_shl_200.mtx,768,663,1726,8,0.072100,0.383024
2498_pkustk08.mtx,22272,22209,3226671,8,0.460774,112.043412
0671_fpga_dcop_12.mtx,1280,1220,5892,8,0.024116,3.909028
1272_lp_nug12.mtx,3200,8856,38304,8,0.021730,28.203652
2533_barrier2-9.mtx,115712,115625,3897557,8,0.512085,121.778441
1253_wb-cs-stanford.mtx,9984,9914,36854,8,0.054387,10.841956
2077_ford2.mtx,100224,100196,544688,8,0.101365,85.976155
1701_mplate.mtx,6016,5962,142190,8,0.041138,55.302145
0269_n4c5-b2.mtx,512,105,1365,8,0.017544,1.244838
2747_wiki-topcats.mtx,1791616,1791489,28511807,8,3.355876,135.937344
0157_lp_scagr7.mtx,256,185,465,8,0.015963,0.466091
0477_bcsstk20.mtx,512,485,3135,8,0.016297,3.077941
2182_lhr34.mtx,35200,35152,764014,8,0.110297,110.829980
1696_cavity19.mtx,4608,4562,138187,8,0.035138,62.923933
2761_ss.mtx,1652736,1652680,34753577,8,3.942325,141.048052
0466_D_11.mtx,256,461,2952,8,0.019403,2.434302
1105_sherman2.mtx,1152,1080,23094,8,0.019378,19.068143
2450_poisson3Db.mtx,85632,85623,2374949,8,0.284506,133.561775
2287_dbir2.mtx,18944,45877,1158159,8,0.182657,101.450082
2419_bcsstk32.mtx,44672,44609,2014701,8,0.259174,124.376973
0569_tumorAntiAngiogenesis_4.mtx,512,455,4593,8,0.062662,1.172775
1168_bayer06.mtx,3072,3008,27576,8,0.036648,12.039177
2640_gearbox.mtx,153856,153746,9080404,8,1.078059,134.766711
2787_boneS10.mtx,914944,914898,55468422,8,6.336149,140.068481
2057_c-66.mtx,50048,49989,499007,8,0.107892,74.001162
2021_ncvxqp5.mtx,62592,62500,424966,8,0.074573,91.178414
2407_conf5_4-8x8-15.mtx,49152,49152,1916928,8,0.241444,127.030830
0363_CSphd.mtx,1920,1882,1740,8,0.019441,1.432009
0026_kleemin.mtx,128,16,44,8,0.015659,0.044957
1179_ca-GrQc.mtx,5248,5242,28980,8,0.036469,12.714463
1292_G29.mtx,2048,2000,39980,8,0.021316,30.010058
0406_lp_scsd1.mtx,128,760,2388,8,0.013562,2.817314
0414_lund_a.mtx,256,147,2449,8,0.017190,2.279492
1821_lowThrust_8.mtx,17792,17702,216445,8,0.062431,55.470954
0780_diag.mtx,2560,2559,8184,8,0.016229,8.068301
1558_fv2.mtx,9856,9801,87025,8,0.036496,38.152059
2399_n4c6-b9.mtx,186624,198895,1865580,8,0.234633,127.216718
1949_graham1.mtx,9088,9035,335504,8,0.079230,67.752964
1341_nopss_11k.mtx,11776,11685,44941,8,0.033903,21.209170
0826_lp_fit1p.mtx,640,1677,9868,8,0.016645,9.485434
1820_TF16.mtx,15488,19321,216173,8,0.049308,70.145546
0929_freeFlyingRobot_2.mtx,1408,1338,11600,8,0.048223,3.848824
1231_G61.mtx,7040,7000,34296,8,0.020076,27.332281
2444_citationCiteseer.mtx,268544,268495,2313294,8,0.371968,99.505075
2036_ex40.mtx,7808,7740,458012,8,0.077396,94.684416
0805_iprob.mtx,3072,3001,9000,8,0.062222,2.314282
2185_trans5.mtx,116864,116835,766396,8,0.132922,92.251865
1010_flower_4_4.mtx,1920,5529,16466,8,0.017546,15.015283
1891_mark3jac100sc.mtx,45824,45769,285215,8,0.060751,75.116593
2822_Bump_2911.mtx,2911488,2911419,127729899,8,14.418188,141.743078
1431_pcb3000.mtx,3968,7732,57479,8,0.075026,12.257867
1142_dwt_2680.mtx,2688,2680,25026,8,0.019399,20.640579
0708_Pd_rhs.mtx,8192,12406,6323,8,0.016466,6.144228
0465_wm3.mtx,256,260,2948,8,0.030148,1.564566
2231_sx-superuser.mtx,194176,194085,924886,8,0.210157,70.415014
1926_cegb2919.mtx,2944,2919,321543,8,0.098461,52.251198
2290_struct3.mtx,53632,53570,1173694,8,0.157854,118.964982
1994_nemeth02.mtx,9600,9506,394808,8,0.063662,99.226462
0810_lp_pilot_we.mtx,768,2928,9265,8,0.036318,4.081703
1486_lp_wood1p.mtx,256,2595,70216,8,0.055740,20.155142
2116_finan512.mtx,74752,74752,596992,8,0.094222,101.375705
0103_GD96_c.mtx,128,65,250,8,0.015373,0.260202
1634_baxter.mtx,27520,30733,111576,8,0.060368,29.572286
0397_p0282.mtx,256,523,2207,8,0.020669,1.708413
1614_mhd4800a.mtx,4864,4800,102252,8,0.036066,45.362431
2601_TEM152078.mtx,152192,152078,6459326,8,0.767227,134.704895
2531_barrier2-11.mtx,115712,115625,3897557,8,0.460406,135.447721
1613_c-41.mtx,9856,9769,101745,8,0.065758,24.756149
2277_pds-100.mtx,156288,514577,1096002,8,0.166230,105.492694
0863_adder_dcop_19.mtx,1920,1813,11245,8,0.039334,4.574210
1235_bips98_606.mtx,7168,7135,34738,8,0.021312,26.079149
1040_wang2.mtx,2944,2903,19093,8,0.017596,17.361345
1914_lhr14c.mtx,14336,14270,307858,8,0.069356,71.021360
0754_dwt_878.mtx,896,878,7448,8,0.016359,7.284649
2504_m14b.mtx,214784,214765,3358036,8,0.404082,132.964700
2403_loc-Gowalla.mtx,196608,196591,1900654,8,0.254769,119.364781
1316_dw8192.mtx,8192,8192,41746,8,0.020436,32.684436
1560_t2d_q4.mtx,9856,9801,87025,8,0.036617,38.026162
0998_spaceStation_5.mtx,1024,1019,15219,8,0.036582,6.656479
2162_Pres_Poisson.mtx,14848,14822,715804,8,0.109312,104.771972
0086_GD96_b.mtx,128,111,193,8,0.015417,0.200297
1119_hydr1c.mtx,5376,5308,23752,8,0.018539,20.498516
1348_g7jac020sc.mtx,5888,5850,45465,8,0.036667,19.838880
2496_cnr-2000.mtx,325632,325557,3216152,8,0.470578,109.351595
1356_bcsstm39.mtx,46848,46772,46772,8,0.039842,18.782985
0089_n2c6-b1.mtx,128,15,210,8,0.015390,0.218327
1936_fe_body.mtx,45184,45087,327468,8,0.062139,84.318475
1682_c-39.mtx,9344,9271,136811,8,0.076202,28.725971
0658_fpga_dcop_41.mtx,1280,1220,5892,8,0.019003,4.960949
2726_as-Skitter.mtx,1696512,1696415,22190596,8,2.766624,128.333147
1588_cq9.mtx,9344,21534,96653,8,0.060061,25.747932
1242_soc-sign-bitcoin-otc.mtx,5888,5881,35592,8,0.056432,10.091364
2237_wa2010.mtx,195584,195574,947432,8,0.145043,104.512945
1671_aft02.mtx,8192,8184,127762,8,0.038836,52.636002
1042_ex21.mtx,768,656,19144,8,0.045545,6.725372
1166_mhd4800b.mtx,4864,4800,27520,8,0.018803,23.417849
1789_obstclae.mtx,40064,40000,197608,8,0.048049,65.802478
1938_shallow_water2.mtx,81920,81920,327680,8,0.063058,83.143879
1391_abtaha1.mtx,14720,209,51307,8,0.021628,37.955197
2782_dielFilterV2real.mtx,1157504,1157456,48538952,8,5.454888,142.371988
1554_kineticBatchReactor_8.mtx,8064,8052,85194,8,0.061602,22.127668
1184_n2c6-b5.mtx,4992,3003,29670,8,0.018757,25.308962
0227_GD00_c.mtx,640,638,1041,8,0.019939,0.835330
2697_af_4_k101.mtx,503680,503625,17550675,8,1.998202,140.531735
1911_lp_nug20.mtx,15360,72600,304800,8,0.058452,83.433154
0891_adder_dcop_59.mtx,1920,1813,11246,8,0.039210,4.589035
1244_c-24.mtx,4224,4119,35699,8,0.038696,14.760827
0091_can_62.mtx,128,62,218,8,0.015490,0.225181
1088_sctap1-2c.mtx,3456,7458,21854,8,0.019436,17.990444
1889_rlfdual.mtx,8064,74970,282031,8,0.076561,58.939563
0773_G34.mtx,2048,2000,8000,8,0.016275,7.864588
0909_adder_dcop_55.mtx,1920,1813,11246,8,0.039385,4.568633
0971_uk.mtx,4864,4824,13674,8,0.017381,12.587428
0544_lp_degen2.mtx,512,757,4201,8,0.036604,1.836284
1193_plbuckle.mtx,1408,1282,30644,8,0.039167,12.518403
2374_Zd_Jac6.mtx,22912,22835,1711983,8,0.260674,105.080586
1209_reorientation_3.mtx,2560,2513,32166,8,0.048250,10.666478
0565_qiulp.mtx,1280,1900,4492,8,0.041597,1.727812
2274_dbir1.mtx,18816,45775,1077025,8,0.177909,96.860933
0262_S10PI_n1.mtx,640,528,1317,8,0.015343,1.373409
2767_inline_1.mtx,503808,503712,36816342,8,4.252571,138.518893
1289_cat_ears_3_4.mtx,5248,13271,39592,8,0.020706,30.593384
2577_Chebyshev4.mtx,68224,68121,5377761,8,0.653436,131.679595
1952_gyro_m.mtx,17408,17361,340431,8,0.066415,82.012713
2680_GL7d16.mtx,955136,460261,14488881,8,1.757164,131.929653
0681_fpga_dcop_27.mtx,1280,1220,5892,8,0.019030,4.953792
1060_lpi_gran.mtx,2688,2525,20111,8,0.036442,8.829831
1173_G62.mtx,7040,7000,28000,8,0.018459,24.270204
0254_n3c5-b5.mtx,256,252,1260,8,0.015500,1.300642
0201_bwm200.mtx,256,200,796,8,0.015428,0.825509
0085_wheel_5_1.mtx,128,61,182,8,0.015432,0.188695
0648_fpga_dcop_50.mtx,1280,1220,5892,8,0.018999,4.962044
1364_gemat1.mtx,4992,10595,47369,8,0.051092,14.833964
1077_circuit_2.mtx,4608,4510,21199,8,0.037902,8.949060
2674_hugetrace-00000.mtx,4588544,4588484,13758266,8,2.455254,89.657648
2438_wheel_601.mtx,902144,723605,2170814,8,0.513066,67.696993
0292_oscil_dcop_14.mtx,512,430,1544,8,0.016302,1.515383
2379_bibd_18_9.mtx,256,48620,1750320,8,0.269931,103.749128
1778_mult_dcop_01.mtx,25216,25187,193276,8,0.062076,49.816689
0008_b1_ss.mtx,128,7,15,8,0.015271,0.015716
