mtx,m,n,nnz,N,time,gflops
1265_GL7d12.mtx,8960,1019,37519,8,0.021863,27.456999
0792_nnc1374.mtx,1408,1374,8606,8,0.020533,6.706106
1600_ex15.mtx,6912,6867,98671,8,0.037953,41.596826
0578_cdde2.mtx,1024,961,4681,8,0.016859,4.442441
0238_rdb200l.mtx,256,200,1120,8,0.018587,0.964116
1185_deter5.mtx,5120,14529,29715,8,0.024005,19.806144
0609_cage.mtx,384,366,5124,8,0.024941,3.287072
0253_mk10-b1.mtx,640,45,1260,8,0.017587,1.146278
1544_jan99jac040sc.mtx,13696,13694,82842,8,0.039635,33.441708
1362_kneser_8_3_1.mtx,15744,15681,47042,8,0.034547,21.786955
1829_s2rmt3m1.mtx,5504,5489,219521,8,0.048297,72.723845
2099_ut2010.mtx,115456,115406,572066,8,0.104769,87.364517
0789_mhda416.mtx,512,416,8562,8,0.017928,7.641163
1805_mario001.mtx,38528,38434,206156,8,0.048224,68.399878
0104_IG5-6.mtx,128,77,251,8,0.017730,0.226513
0622_GL6_D_7.mtx,640,470,5378,8,0.016849,5.107089
2670_TSOPF_FS_b300_c3.mtx,84480,84414,13135930,8,1.677981,125.254630
1192_c-28.mtx,4608,4598,30590,8,0.064363,7.604368
2401_imagesensor.mtx,118784,118758,1893170,8,0.263351,115.020456
1601_sctap1-2b.mtx,15488,33858,99454,8,0.040454,39.335317
2060_soc-Epinions1.mtx,75904,75888,508837,8,0.137703,59.122655
2109_mri1.mtx,65536,147456,589824,8,0.106048,88.989364
0187_rel5.mtx,384,35,656,8,0.021738,0.482846
1047_bcsstm12.mtx,1536,1473,19659,8,0.021767,14.450493
1067_kineticBatchReactor_1.mtx,2176,2052,20600,8,0.072166,4.567222
0447_lnsp_511.mtx,512,511,2796,8,0.022303,2.005854
0781_poli.mtx,4096,4008,8188,8,0.028786,4.551149
0984_pde2961.mtx,3072,2961,14585,8,0.019300,12.091432
1019_spaceStation_10.mtx,1280,1272,17478,8,0.048080,5.816356
1061_rw5151.mtx,5248,5151,20199,8,0.029832,10.833444
2304_mycielskian13.mtx,6144,6143,1227742,8,0.221703,88.604381
1786_bfly.mtx,49152,49152,196608,8,0.051251,61.378430
2440_H2O.mtx,67072,67024,2216736,8,0.290732,121.994838
0082_lap_25.mtx,128,25,169,8,0.017739,0.152431
2750_nd24k.mtx,72064,72000,28715634,8,3.377248,136.042752
0478_ch8-8-b1.mtx,1664,64,3136,8,0.015578,3.221055
0772_G32.mtx,2048,2000,8000,8,0.016516,7.750091
0149_gre_115.mtx,128,115,421,8,0.015443,0.436171
1442_sit100.mtx,10368,10262,61046,8,0.035651,27.396977
1527_LFAT5000.mtx,20096,19994,79966,8,0.036345,35.203492
0485_G12.mtx,896,800,3200,8,0.015616,3.278722
1163_freeFlyingRobot_6.mtx,3456,3358,27030,8,0.086081,5.024106
0626_n3c6-b3.mtx,1408,455,5460,8,0.016112,5.421895
0327_oscil_dcop_33.mtx,512,430,1544,8,0.016480,1.499029
0536_nnc666.mtx,768,666,4044,8,0.016756,3.861557
0871_adder_dcop_67.mtx,1920,1813,11246,8,0.039359,4.571604
2600_Chevron4.mtx,711552,711450,6376412,8,0.759631,134.305494
2280_ks2010.mtx,238720,238600,1121798,8,0.164640,109.018313
1673_lp_fit2d.mtx,128,10524,129042,8,0.078306,26.366774
0566_bp_800.mtx,896,822,4534,8,0.053193,1.363801
0402_Chebyshev1.mtx,384,261,2319,8,0.040581,0.914317
1251_dynamicSoaringProblem_6.mtx,3456,3431,36741,8,0.036808,15.971014
2818_Flan_1565.mtx,1564800,1564794,117406044,8,13.891518,135.226161
1296_G27.mtx,2048,2000,39980,8,0.031480,20.320369
2264_Dubcova2.mtx,65152,65025,1030225,8,0.142814,115.420406
