index,mtx,m,n,nnz,right-n,pixel_gflops
1280,2222_sc2010.mtx,181908,181908,893160,8,33.467
1281,1817_kl02.mtx,71,36699,212536,8,57.637
1282,2312_c-73b.mtx,169422,169422,1279274,8,187.783
1283,2406_conf5_4-8x8-20.mtx,49152,49152,1916928,8,408.945
1284,2679_3Dspectralwave2.mtx,292008,292008,14322744,8,213.374
1285,0400_p0291.mtx,252,543,2283,8,3.044
1286,2108_stat96v1.mtx,5995,197472,588798,8,114.887
1287,0211_gre_216a.mtx,216,216,876,8,1.752
1288,1610_lpl3.mtx,10828,33686,100525,8,67.017
1289,1998_nemeth08.mtx,9506,9506,394816,8,263.211
1290,1884_s2rmq4m1.mtx,5489,5489,281111,8,179.911
1291,0712_D_6.mtx,970,435,6491,8,9.441
1292,0545_lp_nug07.mtx,602,931,4214,8,4.816
1293,1085_primagaz.mtx,1554,10836,21665,8,18.244
1294,2663_pwtk.mtx,217918,217918,11634424,8,357.982
1295,1980_ecl32.mtx,51993,51993,380415,8,126.805
1296,2293_bcsstk31.mtx,35588,35588,1181416,8,258.940
1297,0321_oscil_dcop_06.mtx,430,430,1544,8,2.246
1298,1015_n4c5-b8.mtx,1895,3635,17055,8,22.740
1299,2049_vsp_c-60_data_cti_cs4.mtx,85830,85830,482160,8,80.360
1300,1524_c-31.mtx,5339,5339,78571,8,62.857
1301,0127_GD98_c.mtx,112,112,336,8,0.538
1302,1191_LeGresley_4908.mtx,4908,4908,30482,8,32.514
1303,0250_football(0).mtx,115,115,1226,8,1.509
1304,1761_t2dah.mtx,11445,11445,176117,8,128.085
1305,1183_rdb5000.mtx,5000,5000,29600,8,43.055
1306,1788_torsion1.mtx,40000,40000,197608,8,158.086
1307,1698_cca.mtx,49152,49152,139264,8,71.878
1308,1072_sherman5.mtx,3312,3312,20793,8,25.591
1309,2335_rgg_n_2_17_s0.mtx,131072,131072,1457506,8,108.466
1310,0159_mycielskian6.mtx,47,47,472,8,0.839
1311,0090_n4c5-b1.mtx,105,15,210,8,0.560
1312,0435_Harvard500.mtx,500,500,2636,8,2.343
1313,0923_ex32.mtx,1159,1159,11343,8,15.124
1314,1836_lowThrust_13.mtx,18476,18476,224897,8,102.810
1315,2080_c-58.mtx,37595,37595,552557,8,114.817
1316,0202_rajat11.mtx,135,135,812,8,1.181
1317,1635_vsp_data_and_seymourl.mtx,9167,9167,111732,8,48.317
1318,1766_dictionary28.mtx,52652,52652,178076,8,56.984
1319,2682_memchip.mtx,2707524,2707524,14810202,8,157.765
1320,1286_jan99jac020sc.mtx,6774,6774,38692,8,38.692
1321,2334_n4c6-b10.mtx,132402,186558,1456422,8,200.886
1322,1441_crack.mtx,10240,10240,60760,8,46.293
1323,1225_n4c5-b6.mtx,4735,4340,33145,8,40.794
1324,2366_mo2010.mtx,343565,343565,1656568,8,36.813
1325,0941_rdb2048_noL.mtx,2048,2048,12032,8,21.390
1326,0266_bibd_15_3.mtx,105,455,1365,8,1.365
1327,1776_nemswrld.mtx,7138,28550,192283,8,66.881
1328,2410_conf6_0-8x8-20.mtx,49152,49152,1916928,8,408.945
1329,2189_ma2010.mtx,157508,157508,776610,8,33.950
1330,1589_as-22july06.mtx,22963,22963,96872,8,38.749
