index,mtx,m,n,nnz,cusparse,pixel_time,pixel_gflops
2036,0369_tumorAntiAngiogenesis_1.mtx,205,205,1783,0.000,0.005,0.675
2037,1556_kineticBatchReactor_9.mtx,8115,8115,86183,0.000,0.006,27.178
2038,1261_t2dal_bci.mtx,4257,4257,37465,0.000,0.004,18.200
2039,1256_162bit.mtx,3606,3597,37118,0.000,0.007,9.998
2040,2586_roadNet-CA.mtx,1971281,1971281,5533214,0.000,0.592,18.686
2041,0346_oscil_trans_01.mtx,430,430,1614,0.000,0.004,0.864
2042,1672_aug3dcqp.mtx,35543,35543,128115,0.000,0.007,35.642
2043,2375_venkat50.mtx,62424,62424,1717792,0.000,0.028,122.185
2044,2388_n4c6-b8.mtx,198895,163215,1790055,0.000,0.046,77.468
2045,0575_bp_1000.mtx,822,822,4661,0.000,0.005,1.874
2046,1240_ch7-8-b2.mtx,11760,1176,35280,0.000,0.004,18.143
2047,0907_adder_dcop_02.mtx,1813,1813,11246,0.000,0.006,4.039
2048,1172_bayer05.mtx,3268,3268,27836,0.000,0.005,10.264
2049,1036_mk10-b3.mtx,4725,3150,18900,0.000,0.004,9.548
2050,1732_lhr07c.mtx,7337,7337,156508,0.000,0.006,54.685
2051,1219_cavity05.mtx,1182,1182,32747,0.000,0.005,12.079
2052,0856_rajat02.mtx,1960,1960,11187,0.000,0.006,3.920
2053,2654_hood.mtx,220542,220542,10768436,0.000,0.151,142.938
2054,0825_lp_sctap3.mtx,1480,3340,9734,0.000,0.004,4.701
2055,2624_rail2586.mtx,2586,923269,8011362,0.000,0.474,33.824
2056,2595_Ga10As10H30.mtx,113081,113081,6115633,0.000,0.165,74.317
2057,0527_lshp_577.mtx,577,577,3889,0.000,0.004,1.939
2058,0525_lp_standmps.mtx,467,1274,3878,0.000,0.005,1.601
2059,0191_lp_recipe.mtx,91,204,687,0.000,0.004,0.321
2060,1170_lp_truss.mtx,1000,8806,27836,0.000,0.005,10.594
2061,0353_lpi_qual.mtx,323,464,1646,0.000,0.004,0.822
2062,0750_dwt_918.mtx,918,918,7384,0.000,0.004,3.559
2063,0827_S80PI_n1.mtx,4028,4028,9927,0.000,0.004,5.323
2064,2369_ns3Da.mtx,20414,20414,1679599,0.000,0.269,12.502
2065,0196_lpi_klein1.mtx,54,108,750,0.000,0.005,0.318
