index,mtx,m,n,nnz,mp16,mp4,mpnz,128-ds-cycle,128-ds-mac,128-rm-cycle,128-rm-mac,128-smu-cycle,128-smu-mac,128-ds-energy,128-rm-energy,128-smu-energy,128-smu-speedup,64-ds-cycle,64-ds-mac,64-rm-cycle,64-rm-mac,64-smu-cycle,64-smu-mac,64-ds-energy,64-rm-energy,64-smu-energy,64-smu-speedup,128-ds-mt125,128-ds-mt25,128-ds-mt50,128-ds-mt75,128-ds-mt100,128-rm-mt125,128-rm-mt25,128-rm-mt50,128-rm-mt75,128-rm-mt100,128-smu-mt125,128-smu-mt25,128-smu-mt50,128-smu-mt75,128-smu-mt100,64-ds-mt125,64-ds-mt25,64-ds-mt50,64-ds-mt75,64-ds-mt100,64-rm-mt125,64-rm-mt25,64-rm-mt50,64-rm-mt75,64-rm-mt100,64-smu-mt125,64-smu-mt25,64-smu-mt50,64-smu-mt75,64-smu-mt100,128-ds-a-ntr,128-ds-b-ntr,128-ds-c-ntr,128-rm-a-ntr,128-rm-b-ntr,128-rm-c-ntr,128-smu-a-ntr,128-smu-b-ntr,128-smu-c-ntr,64-ds-a-ntr,64-ds-b-ntr,64-ds-c-ntr,64-rm-a-ntr,64-rm-b-ntr,64-rm-c-ntr,64-smu-a-ntr,64-smu-b-ntr,64-smu-c-ntr,128-ds-nt125,128-ds-nt25,128-ds-nt50,128-ds-nt75,128-ds-nt100,128-rm-nt125,128-rm-nt25,128-rm-nt50,128-rm-nt75,128-rm-nt100,128-smu-nt125,128-smu-nt25,128-smu-nt50,128-smu-nt75,128-smu-nt100,64-ds-nt125,64-ds-nt25,64-ds-nt50,64-ds-nt75,64-ds-nt100,64-rm-nt125,64-rm-nt25,64-rm-nt50,64-rm-nt75,64-rm-nt100,64-smu-nt125,64-smu-nt25,64-smu-nt50,64-smu-nt75,64-smu-nt100,128-rm-c-nut,128-smu-a-nut,128-smu-b-nut,128-smu-c-nut,64-rm-c-nut,64-smu-a-nut,64-smu-b-nut,64-smu-c-nut
343,1770_Goodwin_023.mtx,6005,6005,182168,38271,776293,6986888,248895,21.93,264694,20.62,132696,41.14,63856.27,34555.71,30312.75,0.00,318406,34.29,396909,27.51,165930,65.79,63856.27,39370.56,32443.73,0.00,126977,50241,45393,16315,9969,144330,55276,40601,14512,9975,30033,26677,32353,18625,25008,107204,74633,70067,30006,36496,167119,96452,87488,19309,26541,17517,16173,30220,22272,79748,1137349,1483468,6986888,2159213,1494380,5800578,2078161,2423764,4316767,1459795,1483468,6986888,2159213,2087600,5800578,2461827,2839103,4316767,2406630,2064707,2515551,0,0,349326,2662565,2788687,0,0,302637,878959,1354893,336418,1443860,3485719,3501169,0,0,0,349326,2662565,2788687,0,0,302637,878959,1354893,336418,1443860,4107583.23,1089332.59,1302396.66,3892993.53,4520662.70,1147937.09,1343347.63,3526589.06
344,0750_dwt_918.mtx,918,918,7384,2452,15072,62460,8539,5.71,4505,10.83,3949,12.36,832.15,615.49,446.56,0.00,8559,11.40,5963,16.37,4012,24.33,832.15,649.58,452.46,0.00,7809,482,238,10,0,3489,477,347,128,64,2689,673,473,83,31,5555,2274,482,195,53,3953,863,623,358,166,1957,750,671,363,271,21597,21687,62460,25131,32733,65718,34231,35738,46068,21687,21687,62460,25131,38142,65718,35158,37044,46068,52298,9442,720,0,0,7642,28016,30060,0,0,8471,10426,12422,7755,6994,52378,10082,0,0,0,7642,28016,30060,0,0,8471,10426,12422,7755,6994,44474.54,12185.68,12887.87,34002.98,49953.82,12400.55,13304.45,33594.29
345,0913_adder_dcop_14.mtx,1813,1813,11246,64442,208557,1848518,59740,24.17,65528,22.04,49753,29.03,22234.95,8301.82,9614.09,0.00,73684,39.20,100943,28.61,63683,45.35,22234.95,9389.72,10194.63,0.00,45128,455,296,83,13778,37119,952,27430,27,0,34817,843,152,164,13777,43960,1334,376,1122,26892,43712,2311,54881,39,0,33393,1578,1173,1717,25822,187260,277557,1848518,522944,171058,2359396,214622,306268,1842705,297816,277557,1848518,522944,289679,2359396,220298,518966,1842705,103831,11697,1732990,0,0,110704,153421,2095271,0,0,64249,25549,18871,96984,1637052,103951,1744567,0,0,0,110704,153421,2095271,0,0,64249,25549,18871,96984,1637052,2260284.31,128402.86,229669.16,1802272.98,2273693.05,100380.24,316531.85,1326474.89
346,0305_oscil_dcop_42.mtx,430,430,1544,1383,4785,6450,3207,1.57,1153,4.37,1368,3.68,131.26,98.51,72.03,0.00,3207,3.14,1512,6.67,1370,7.36,131.26,100.93,72.24,0.00,3206,1,0,0,0,1086,43,15,9,0,1314,29,19,6,0,3044,162,1,0,0,1368,90,36,18,0,1190,126,33,13,8,4399,4341,6450,4412,4371,9688,6069,6109,5643,4399,4341,6450,4412,4718,9688,6125,6133,5643,6450,0,0,0,0,5324,4075,289,0,0,3546,1160,578,359,0,6450,0,0,0,0,5324,4075,289,0,0,3546,1160,578,359,0,5983.91,1366.83,1388.75,3633.19,6751.46,1386.19,1392.36,3632.97
347,1356_bcsstm39.mtx,46772,46772,46772,2924,11693,46772,46772,0.78,2924,12.50,2924,12.50,1286.27,640.46,805.81,0.00,46772,1.56,5847,12.50,2924,24.99,1286.27,646.67,805.81,0.00,46772,0,0,0,0,2924,0,0,0,0,2924,0,0,0,0,46772,0,0,0,0,5847,0,0,0,0,1,2923,0,0,0,46772,46772,46772,46772,46772,93544,46772,46772,46772,46772,46772,46772,46772,46772,93544,46772,46772,46772,46772,0,0,0,0,93544,0,0,0,0,0,46772,0,0,0,46772,0,0,0,0,93544,0,0,0,0,0,46772,0,0,0,93540.00,16535.69,16535.69,33071.38,93541.66,16535.69,16535.69,33071.38
348,2307_amazon0302.mtx,262111,262111,1234877,3654303,4790560,6021131,3654947,1.29,3196499,1.47,3158473,1.49,134236.59,100005.92,70805.43,0.00,3654947,2.57,3263772,2.88,3158497,2.98,134236.59,100561.50,70806.43,0.00,3652508,2436,3,0,0,3186405,8347,1717,30,0,3148639,8466,1319,47,2,3617962,34546,2436,3,0,3220694,35554,6849,662,13,3105768,42881,8473,1106,269,4370971,4883880,6021131,4406619,4927257,9527108,5310456,5892995,5544089,4370971,4883880,6021131,4406619,5017757,9527108,5310563,5893268,5544089,6021021,110,0,0,0,5843000,2890811,793297,0,0,3993603,1088326,232813,168532,60815,6021021,110,0,0,0,5843000,2890811,793297,0,0,3993603,1088326,232813,168532,60815,2947109.62,672459.79,768921.03,2298960.71,4040447.43,672433.05,768964.84,2298928.16
349,2224_tube2.mtx,21498,21498,897056,86278,1344615,38022972,961424,30.90,886005,33.53,403658,73.59,304440.00,156533.62,138185.99,0.00,1360670,43.66,1268568,46.83,673669,88.19,304440.00,174004.18,148158.98,0.00,314826,179918,256430,155662,54588,237424,196932,259606,116697,75346,35439,25805,56870,41501,244043,357632,197664,337888,205768,261718,260176,205087,319667,229127,254511,17090,27227,40231,43617,545504,5058779,7154292,38022972,11532748,6885819,24149278,9518850,10819092,13116301,7154292,7154292,38022972,11532748,9031792,24149278,11773914,12282177,13116301,7217353,11775329,19030290,0,0,1671538,18095022,4382718,0,0,58078,1049528,1097462,2891191,8020042,13487307,24535665,0,0,0,1671538,18095022,4382718,0,0,58078,1049528,1097462,2891191,8020042,18530870.87,5154186.98,5906457.36,9906684.01,21057754.71,5052005.27,5299983.07,8600692.99
350,1358_meg4.mtx,5860,5860,46842,92767,570884,2499286,194745,10.03,138791,14.07,116759,16.72,33663.31,15862.24,14968.89,0.00,204095,19.13,200887,19.44,121656,32.10,33663.31,17562.35,15118.70,0.00,162693,10311,16040,1676,4025,88752,33476,16010,464,89,79736,12663,15788,4887,3685,148152,19161,11724,4697,20361,110807,36647,51936,1008,489,61073,19118,13378,5429,22658,546147,599027,2499286,831315,566572,3173192,703234,741760,2424384,599027,599027,2499286,831315,774452,3173192,713444,788221,2424384,927340,927333,644613,0,0,269100,490072,2414020,0,0,220264,384350,429324,415576,974870,1010062,1489224,0,0,0,269100,490072,2414020,0,0,220264,384350,429324,415576,974870,2363253.31,297794.07,325021.48,2045088.44,2608117.91,289913.60,336919.17,1886311.76
351,0655_fpga_dcop_47.mtx,1220,1220,5892,4802,22651,46772,13672,2.67,5912,6.18,6269,5.83,802.72,508.89,413.63,0.00,13969,5.23,7470,9.78,6337,11.53,802.72,530.05,417.08,0.00,13314,161,114,42,41,5272,322,318,0,0,5788,248,141,45,47,13203,337,245,85,99,5946,863,661,0,0,4745,1066,256,99,171,22911,22073,46772,26231,21014,64382,32014,31096,43664,23967,22073,46772,26231,23720,64382,32447,31966,43664,33533,5239,8000,0,0,24164,17218,23000,0,0,12286,12270,6479,4597,8032,37313,9459,0,0,0,24164,17218,23000,0,0,12286,12270,6479,4597,8032,45689.55,8111.89,8236.51,33008.54,50022.92,8222.92,8549.77,31451.89
352,1980_ecl32.mtx,51993,51993,380415,659567,2215464,3336991,1593946,1.64,639408,4.08,727901,3.58,69060.86,52896.93,34724.07,0.00,1593977,3.27,784331,6.65,728345,7.16,69060.86,54263.73,34766.07,0.00,1586365,7290,290,1,0,606628,22670,6458,1919,1733,696134,24213,6640,853,61,1560997,25400,7289,275,16,704001,53589,18517,4671,3553,635795,60467,24382,4950,2751,2273753,2277343,3336991,2315840,2467528,5126900,3124678,3170590,3204425,2273832,2277343,3336991,2315840,2693782,5126900,3131173,3180020,3204425,3325105,11816,70,0,0,2614112,1685424,827364,0,0,1611930,759750,649179,159119,24447,3325167,11824,0,0,0,2614112,1685424,827364,0,0,1611930,759750,649179,159119,24447,2929170.36,736156.03,753607.06,2078312.55,3487079.03,737530.21,756405.02,2074803.50
353,2101_ncvxqp7.mtx,87500,87500,574962,2007023,7400764,5176506,5171445,0.78,1935991,2.09,2240258,1.81,142295.64,104620.03,70436.15,0.00,5171445,1.56,2509994,3.22,2240259,3.61,142295.64,105844.51,70436.22,0.00,5171437,6,2,0,0,1935884,93,12,2,0,2240222,32,3,1,0,5171407,30,6,2,0,2509627,320,38,8,1,2227351,12871,32,4,1,5173632,5173632,5176506,5173706,5173830,10348312,7209346,7209433,5176354,5173632,5173632,5176506,5173706,5175403,10348312,7209342,7209464,5176354,5176434,72,0,0,0,10339016,8701,595,0,0,4974823,201093,357,39,42,5176434,72,0,0,0,10339016,8701,595,0,0,4974823,201093,357,39,42,5007870.64,1155367.79,1155392.84,2926938.66,6074362.37,1155364.07,1155403.84,2926931.87
354,0479_utm300.mtx,300,300,3155,813,7148,37601,3784,7.76,2618,11.22,1522,19.30,455.23,345.75,239.29,0.00,3973,14.79,3560,16.50,1625,36.15,455.23,359.96,247.47,0.00,3147,450,156,28,3,1985,329,187,72,45,839,296,238,91,58,2766,588,432,109,78,2313,534,447,164,102,575,288,307,163,292,12042,12060,37601,15735,21415,39632,19276,20593,25148,12612,12060,37601,15735,23758,39632,20758,22199,25148,27820,7347,2434,0,0,6306,11512,21814,0,0,2905,5001,7745,5662,3835,28571,9030,0,0,0,6306,11512,21814,0,0,2905,5001,7745,5662,3835,27150.58,7912.52,8860.12,20115.27,29989.76,8199.34,9079.14,19390.43
355,1703_shock-9.mtx,36476,36476,142580,92602,392053,560824,348489,1.26,81215,5.39,118286,3.70,12806.55,9033.37,6855.10,0.00,348489,2.51,100748,8.70,118286,7.41,12806.55,9127.88,6855.10,0.00,348489,0,0,0,0,72511,6424,2279,1,0,113966,4319,1,0,0,348483,6,0,0,0,81047,15142,4557,2,0,97198,16768,4319,1,0,439257,439257,560824,439257,439268,888761,587200,608436,543242,439257,439257,560824,439257,456683,888761,587200,608436,543242,560824,0,0,0,0,425970,462744,47,0,0,225640,117194,200408,0,0,560824,0,0,0,0,425970,462744,47,0,0,225640,117194,200408,0,0,649820.74,132230.88,139373.84,356153.00,745977.25,132230.88,139373.84,356153.00
356,2547_t3dh_a.mtx,79171,79171,4352105,11195153,73446119,255940359,26538242,7.53,20509122,9.75,15373258,13.01,3089441.34,2231585.23,1428989.31,0.00,26984374,14.82,26951023,14.84,15774123,25.35,3089441.34,2375356.28,1454145.38,0.00,22565121,2894627,1004817,69706,3971,15763691,3185719,1359476,170139,30097,10519072,2777195,1520799,357834,198358,16827275,6227467,2921047,668461,340124,17451178,5347492,3219527,734347,198479,7094695,3522498,2849979,1114019,1192932,80440149,81986213,255940359,100483904,91662603,251547512,120344666,123740155,169814246,81986213,81986213,255940359,100483904,111805380,251547512,124783890,128842987,169814246,206804847,43180419,5955093,0,0,39374538,128526796,83646178,0,0,34816698,50041499,46333942,28227627,10394480,211526956,44413403,0,0,0,39374538,128526796,83646178,0,0,34816698,50041499,46333942,28227627,10394480,139359125.80,40253033.69,41697833.96,122228211.87,167353520.11,40944191.42,42596640.33,120273136.56
357,2144_cbuckle.mtx,13681,13681,676515,79246,937171,34292821,725957,36.90,688826,38.89,342572,78.21,267631.70,150687.15,120051.64,0.00,1053637,50.85,990361,54.10,593865,90.23,267631.70,168070.88,128123.52,0.00,187361,153255,194749,124613,65979,180541,134018,184866,90899,98502,27021,23781,30417,28071,233282,135303,264180,237268,181526,235360,121545,194943,238604,156846,278423,11041,22981,31771,23154,504918,4111639,5989146,34292821,9844458,7828356,21950297,7999216,9192110,11449877,5989146,5989146,34292821,9844458,9917064,21950297,9974122,10216048,11449877,6167308,9940910,18184603,0,0,260148,12319155,9370994,0,0,3607,201168,2083524,287040,8874538,11389571,22903250,0,0,0,260148,12319155,9370994,0,0,3607,201168,2083524,287040,8874538,17395896.74,4465575.35,5150682.81,8214563.90,19368399.17,4307480.05,4421549.81,7171465.71
358,0467_dwt_361.mtx,361,361,2953,231,4027,24807,2655,7.30,633,30.62,771,25.14,312.49,201.11,169.46,0.00,2655,14.60,1161,33.39,799,48.51,312.49,216.95,170.78,0.00,2420,200,35,0,0,194,127,177,98,37,198,233,288,45,7,833,1587,200,34,1,352,230,256,245,78,165,45,229,184,176,7950,7950,24807,8927,13217,24365,13300,13533,16586,7950,7950,24807,8927,15852,24365,13568,13759,16586,23534,1273,0,0,0,1140,9740,13485,0,0,2026,2512,4033,2489,5526,23534,1273,0,0,0,1140,9740,13485,0,0,2026,2512,4033,2489,5526,20672.91,5912.18,5943.76,13309.92,21549.44,5888.00,6010.22,13258.55
359,2819_rgg_n_2_23_s0.mtx,8388608,8388608,127002786,4896490830,5831958753,2050055514,1970412134,0.81,1893404294,0.85,1919258602,0.83,55370212.22,57570839.34,26336156.47,0.00,1970412134,1.63,1938443723,1.65,1919258602,1.67,55370212.22,57734903.49,26336156.47,0.00,1970412134,0,0,0,0,1893403837,457,0,0,0,1919258543,59,0,0,0,1970381365,30769,0,0,0,1938432486,11152,85,0,0,1919238778,19765,59,0,0,2008643309,2008643309,2050055514,2008643309,2008655717,4005928074,2056086531,2056101049,2044871839,2008643309,2008643309,2050055514,2008643309,2030699169,4005928074,2056086531,2056101049,2044871839,2050055514,0,0,0,0,3877754702,128141624,31748,0,0,2042682855,2140211,39706,9067,0,2050055514,0,0,0,0,3877754702,128141624,31748,0,0,2042682855,2140211,39706,9067,0,1040983655.15,189977768.37,189980132.96,757035531.40,1442778919.49,189977768.37,189980132.96,757035531.40
360,2312_c-73b.mtx,169422,169422,1279274,21677027,328273718,3897967980,88196434,34.53,62175435,48.98,52654650,57.84,39640868.56,15109893.84,16834068.90,0.00,103815324,58.67,117370683,51.89,76792990,79.31,39640868.56,18825729.71,18403217.17,0.00,34869908,1428830,37047008,1856465,12994223,8784132,2735427,36544159,4532646,9579071,13709827,1037246,9127154,7870867,20909556,33158165,4212665,1471121,15823575,49149798,11141621,9001900,68764144,12806221,15656797,10989097,3138708,3555290,2496105,56613790,438764302,560071882,3897967980,1063038892,444984516,3275102438,524803308,944283954,2766463368,560071882,560071882,3897967980,1063038892,848651565,3275102438,675228504,1386594404,2766463368,116216154,1974587275,1807164551,0,0,63755356,1208085888,2003261194,0,0,59584164,318354721,752102618,27234865,1609187000,152736262,3745231718,0,0,0,63755356,1208085888,2003261194,0,0,59584164,318354721,752102618,27234865,1609187000,3089082646.68,325356611.15,610491534.87,2701478756.39,3107352096.20,332642321.97,742839435.64,2076756624.78
361,1891_mark3jac100sc.mtx,45769,45769,285215,820124,2403808,1957922,873963,1.75,637094,2.40,644596,2.37,39781.69,38713.58,22766.93,0.00,873963,3.50,769965,3.97,644596,4.75,39781.69,39708.84,22766.93,0.00,870343,3389,231,0,0,623077,9074,4353,590,0,629922,12465,2209,0,0,853070,17273,3389,231,0,736828,21520,9322,2270,25,603726,26196,12465,2030,179,1302071,1271746,1957922,1324169,1384781,3058662,2027206,2071522,1872026,1302071,1271746,1957922,1324169,1532721,3058662,2027206,2071522,1872026,1949618,8304,0,0,0,1628196,995194,435272,0,0,1333735,313222,178079,37673,9317,1949618,8304,0,0,0,1628196,995194,435272,0,0,1333735,313222,178079,37673,9317,1399912.39,395108.91,400757.16,1156006.63,1647664.72,395108.91,400757.16,1156006.63
362,0110_dwt_59.mtx,59,59,267,36,439,1263,217,4.55,66,14.95,84,11.75,17.78,11.93,10.51,0.00,217,9.09,109,18.10,85,23.22,17.78,12.68,10.59,0.00,205,12,0,0,0,44,12,4,3,3,63,10,9,2,0,168,37,12,0,0,69,18,11,4,7,39,23,12,6,5,492,492,1263,553,678,1353,773,838,988,492,492,1263,553,814,1353,772,870,988,1263,0,0,0,0,278,490,585,0,0,271,322,261,62,72,1263,0,0,0,0,278,490,585,0,0,271,322,261,62,72,1035.56,265.21,293.08,811.97,1089.94,262.21,303.88,799.07
363,0021_GD01_b.mtx,18,18,37,5,62,77,30,2.01,5,12.03,13,4.63,1.49,0.91,1.00,0.00,30,4.01,7,17.19,13,9.25,1.49,0.94,1.00,0.00,30,0,0,0,0,4,0,1,0,0,13,0,0,0,0,30,0,0,0,0,5,0,2,0,0,9,4,0,0,0,48,46,77,48,46,98,73,70,77,48,46,77,48,52,98,73,70,77,77,0,0,0,0,12,66,20,0,0,51,19,7,0,0,77,0,0,0,0,12,66,20,0,0,51,19,7,0,0,80.04,16.56,16.84,58.04,85.06,16.56,16.84,58.04
364,0003_mycielskian2.mtx,2,2,2,1,1,2,2,0.78,1,1.56,1,1.56,0.06,0.03,0.04,0.00,2,1.56,1,3.12,1,3.12,0.06,0.03,0.04,0.00,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,2,2,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1.41,0.25,0.25,0.71,2.00,0.25,0.25,0.71
365,2560_apache2.mtx,715176,715176,4817870,3456433,12853984,32599768,17164286,1.48,3723873,6.84,4119335,6.18,701904.28,479111.11,339202.85,0.00,17164286,2.97,4525834,11.25,4119335,12.37,701904.28,481737.71,339202.85,0.00,17164286,0,0,0,0,3211705,344957,122513,44698,0,3466989,563988,88358,0,0,16542666,621620,0,0,0,3678212,414307,343918,89397,0,3311214,155775,563988,87913,445,23592158,23592158,32599768,23592158,27781605,51538894,29862273,30383960,30461372,23592158,23592158,32599768,23592158,28083058,51538894,29862273,30383960,30461372,32599768,0,0,0,0,27518558,21143896,2876440,0,0,8327240,7529160,5058328,7068490,2478154,32599768,0,0,0,0,27518558,21143896,2876440,0,0,8327240,7529160,5058328,7068490,2478154,37418426.25,8420612.27,8704770.08,20524481.79,45233512.05,8420612.27,8704770.08,20524481.79
366,2713_circuit5M_dc.mtx,3523317,3523317,19194193,14939804,50978531,112041788,40205006,2.18,14347688,6.10,16714110,5.24,2003134.53,1509067.73,1069061.16,0.00,40210859,4.35,17959052,9.75,16759592,10.45,2003134.53,1532965.98,1072611.69,0.00,40178417,20573,4444,880,692,12770849,771254,647561,152096,5928,15003424,1078126,543982,87179,1399,37517445,2665815,21217,3771,2611,14695794,1386542,1358262,505887,12567,13290801,1755438,1119834,385765,207754,62971178,68476702,112041788,63185782,69536963,139990664,90019702,98037254,84889047,62990190,68476702,112041788,63185782,72818994,139990664,90862544,98563043,84889047,111701758,189723,150307,0,0,50972844,84882167,4135653,0,0,35553923,22848088,18680739,7255673,550624,111740460,301328,0,0,0,50972844,84882167,4135653,0,0,35553923,22848088,18680739,7255673,550624,93060846.69,22655503.60,25042110.26,54736752.96,105316686.16,22937645.48,25168816.09,54725912.38
367,0976_orsreg_1.mtx,2205,2205,14133,7888,54566,91495,48091,1.49,8533,8.38,14804,4.83,1965.93,1276.24,991.11,0.00,48091,2.97,12745,11.22,14804,9.66,1965.93,1288.12,991.11,0.00,48091,0,0,0,0,7079,1055,261,138,0,13413,1161,230,0,0,46345,1746,0,0,0,10037,1534,899,275,0,11710,1703,1161,210,20,66078,66078,91495,66078,77341,143799,88934,93431,85195,66078,66078,91495,66078,78226,143799,88934,93431,85195,91495,0,0,0,0,75242,60877,7680,0,0,37065,10816,30172,520,6622,91495,0,0,0,0,75242,60877,7680,0,0,37065,10816,30172,520,6622,104507.15,22334.07,23941.94,54146.19,122840.15,22334.07,23941.94,54146.19
368,2064_hcircuit.mtx,105676,105676,513072,881364,2705591,9069768,1508455,4.70,947761,7.48,991118,7.15,142193.88,82210.20,64907.68,0.00,1513469,9.36,1200053,11.81,997018,14.21,142193.88,85998.99,65231.06,0.00,1472182,20061,12073,267,3872,836030,80762,24835,6126,8,889717,70016,23375,4136,3874,949824,523419,20146,11181,8899,716628,389909,79901,13590,25,470735,420763,72068,18279,15173,3494681,3529437,9069768,3745943,3518060,12000544,4072238,4151493,8370348,3529401,3529437,9069768,3745943,4014266,12000544,4109565,4237307,8370348,8094875,457667,517226,0,0,1650938,8371786,1977820,0,0,1541254,2153055,2149865,1831500,694674,8101749,968019,0,0,0,1650938,8371786,1977820,0,0,1541254,2153055,2149865,1831500,694674,6915755.31,1136143.76,1187461.42,5163228.37,8216721.20,1139775.28,1219123.92,5015604.86
369,0123_dolphins.mtx,62,62,318,64,1831,2164,544,3.11,160,10.57,275,6.15,36.31,21.10,21.26,0.00,544,6.22,256,13.21,275,12.30,36.31,23.09,21.26,0.00,538,4,2,0,0,111,31,16,2,0,256,19,0,0,0,473,65,4,2,0,154,67,33,2,0,164,92,19,0,0,1047,1047,2164,1109,1267,2727,1795,1890,2075,1047,1047,2164,1109,1620,2727,1795,1890,2075,2092,72,0,0,0,474,1366,887,0,0,1407,490,169,9,0,2092,72,0,0,0,474,1366,887,0,0,1407,490,169,9,0,1923.32,475.19,503.89,1744.59,2006.69,475.19,503.89,1744.59
370,2342_web-NotreDame.mtx,325729,325729,1497134,979934,4800615,64593748,2844319,17.74,2062791,24.46,1448594,34.84,598944.39,270513.99,265910.49,0.00,3440660,29.33,2889009,34.94,1875226,53.82,598944.39,305289.69,283245.69,0.00,2308603,63011,65470,44884,362351,1299267,174635,283232,27694,277963,866259,59200,89837,22015,411283,2363161,144432,106479,67436,759152,1423484,289567,557758,41930,576270,715479,158118,69907,41273,890449,10056433,12599732,64593748,20618985,9162456,50914575,14968669,18417598,31681379,13535566,12599732,64593748,20618985,12983003,50914575,19525144,20298374,31681379,11625426,3370223,49598099,0,0,5581434,25042178,20290963,0,0,1415856,3603916,1773071,2548920,22339616,13487134,51106614,0,0,0,5581434,25042178,20290963,0,0,1415856,3603916,1773071,2548920,22339616,45400661.70,6907377.14,9051482.23,24651394.08,46932454.00,7348407.19,8280713.04,19601611.55
371,1976_bcircuit.mtx,68902,68902,375558,472631,1411998,2391204,730297,2.56,472771,3.95,470966,3.97,41881.62,37679.72,23823.43,0.00,730297,5.12,557151,6.71,471364,7.93,41881.62,38422.49,23860.00,0.00,726706,2991,600,0,0,452431,11552,3899,3009,1880,445374,15694,9134,758,6,650040,76666,2991,559,41,499077,36358,11558,6461,3697,397438,48236,15923,6886,2881,1283419,1283419,2391204,1307605,1542522,3178242,2055089,2092728,2032189,1283419,1283419,2391204,1307605,1653603,3178242,2062688,2099107,2032189,2369071,22133,0,0,0,1173718,1319843,684681,0,0,922125,507165,307794,141243,153862,2369071,22133,0,0,0,1173718,1319843,684681,0,0,922125,507165,307794,141243,153862,1686144.94,473130.68,488776.60,1245856.12,1975237.13,475619.89,490605.32,1245021.04
372,1048_spaceStation_9.mtx,1180,1180,19674,19094,93258,423646,112788,2.93,29134,11.36,27178,12.18,6848.57,3955.11,3117.27,0.00,118759,5.57,39974,16.56,28600,23.14,6848.57,4103.38,3163.54,0.00,110278,545,1063,505,397,22200,4084,2030,542,278,21718,1867,1979,415,1199,114416,1393,741,682,1527,27375,6824,4043,646,1086,18690,3069,2021,1436,3384,200672,214137,423646,243521,204456,532809,262494,270948,328124,214137,214137,423646,243521,219382,532809,272268,278464,328124,282906,52338,88402,0,0,192090,205590,135129,0,0,55508,65134,63372,59702,84408,301805,121841,0,0,0,192090,205590,135129,0,0,55508,65134,63372,59702,84408,398906.45,109305.24,114506.13,250452.95,458685.13,106133.42,109846.07,233488.65
373,0917_adder_dcop_41.mtx,1813,1813,11246,64442,208557,1848518,59740,24.17,65528,22.04,49753,29.03,22234.95,8301.82,9614.09,0.00,73684,39.20,100943,28.61,63683,45.35,22234.95,9389.72,10194.63,0.00,45128,455,296,83,13778,37119,952,27430,27,0,34817,843,152,164,13777,43960,1334,376,1122,26892,43712,2311,54881,39,0,33393,1578,1173,1717,25822,187260,277557,1848518,522944,171058,2359396,214622,306268,1842705,297816,277557,1848518,522944,289679,2359396,220298,518966,1842705,103831,11697,1732990,0,0,110704,153421,2095271,0,0,64249,25549,18871,96984,1637052,103951,1744567,0,0,0,110704,153421,2095271,0,0,64249,25549,18871,96984,1637052,2260284.31,128402.86,229669.16,1802272.98,2273693.05,100380.24,316531.85,1326474.89
374,0838_bcsstm38.mtx,8032,8032,10485,1414,6770,44177,7776,4.44,2574,13.41,2096,16.47,552.25,324.94,294.56,0.00,7854,8.79,3486,19.80,2222,31.07,552.25,340.88,301.62,0.00,7162,325,262,27,0,1674,489,303,102,6,1313,432,197,62,92,5715,1504,370,214,51,1794,677,695,252,68,786,538,453,121,324,15365,15713,44177,18697,17092,41184,17405,18546,24343,15713,15713,44177,18697,19095,41184,18535,20095,24343,31910,9843,2424,0,0,10692,21851,8641,0,0,4385,6062,5348,5690,2858,33593,10584,0,0,0,10692,21851,8641,0,0,4385,6062,5348,5690,2858,27438.05,6058.73,6575.87,17302.01,30931.44,6138.70,6793.77,16745.26
375,2344_boyd2.mtx,466316,466316,1500397,69371015,1103927467,17720506035,141958128,97.52,276084351,50.14,139154018,99.49,203924528.26,64701380.20,86107354.94,0.00,280396399,98.75,551542688,50.20,277560447,99.76,203924528.26,74953662.87,91960830.91,0.00,3533566,4290,8981,20592,138390699,810809,13642,273694400,2774,1562726,729177,5573,12836,6350,138400082,3550021,2063,35904,25683,276782728,998359,44063,547371782,1702,3126782,588257,140921,17748,11656,276801865,1111202848,2218527838,17720506035,4433064410,1111202920,22002754755,1112105829,2244239254,17620087472,2218527838,2218527838,17720506035,4433064410,2218527916,22002754755,1124838453,4433556743,17620087472,4364248,566448,17715575339,0,0,6323878,101831787,21894599090,0,0,1495652,2385586,528567,584131,17615093536,5384138,17715121897,0,0,0,6323878,101831787,21894599090,0,0,1495652,2385586,528567,584131,17615093536,22000498815.27,1104870221.70,2225990941.58,17589149072.16,22000914403.53,788027751.94,3122442485.79,12438549307.14
