index,mtx,cvt_time,gflops
247,1801_vsp_barth5_1Ksep_50in_5Kout.mtx,,43.8984
248,0635_plat362.mtx,,1.31623
249,1385_mbeacxc.mtx,,7.58519
250,0437_fs_680_1.mtx,,0.810535
251,2273_ts-palko.mtx,,117.663
252,2015_onera_dual.mtx,,90.7909
253,0880_adder_dcop_62.mtx,,2.60031
254,0326_oscil_dcop_32.mtx,,0.462945
255,2042_OPF_10000.mtx,,103.212
256,2230_ne2010.mtx,,123.029
257,0523_can_445.mtx,,0.995911
258,1451_c-35.mtx,,15.2722
259,1870_a5esindl.mtx,,44.6326
260,1900_EX5(0).mtx,,42.0183
261,2398_appu.mtx,,131.791
262,2342_web-NotreDame.mtx,,175.137
263,0379_west0479.mtx,,0.574029
264,0806_laser.mtx,,2.70486
265,1631_co9.mtx,,24.8968
266,2582_para-8.mtx,,244.237
267,2515_parabolic_fem.mtx,,248.64
268,2307_amazon0302.mtx,,108.648
269,0816_G16.mtx,,2.1838
270,1539_gen2.mtx,,10.7516
271,0759_model2.mtx,,1.37418
272,0168_lnsp_131.mtx,,0.164475
273,2276_dbic1.mtx,,138.309
274,2214_ch7-8-b5.mtx,,149.946
275,2238_soc-Slashdot0902.mtx,,104.671
276,2344_boyd2.mtx,,146.304
277,1567_jendrec1.mtx,,14.6985
278,0440_tumorAntiAngiogenesis_2.mtx,,0.709773
279,1578_ex26.mtx,,13.3783
280,2786_hugebubbles-00000.mtx,,66.0027
281,2155_ch7-8-b4.mtx,,135.633
282,1760_epb2.mtx,,48.1072
283,0646_fpga_dcop_29.mtx,,1.78642
284,0537_1138_bus.mtx,,1.23218
285,2037_tandem_dual.mtx,,98.271
286,0862_adder_dcop_11.mtx,,2.59962
287,0275_dwt_245.mtx,,0.429488
288,1285_jan99jac020.mtx,,10.7117
289,0481_str_400.mtx,,0.827115
290,1993_nemeth03.mtx,,67.6766
291,1550_bcsstk13.mtx,,13.1256
292,1400_aa4.mtx,,6.95442
293,2017_cit-HepPh.mtx,,70.7748
294,0192_bcsstk22.mtx,,0.204849
295,0997_c-18.mtx,,3.81529
296,0298_oscil_dcop_22.mtx,,0.463296
297,1790_lowThrust_5.mtx,,39.8888
298,2651_crankseg_1.mtx,,141.729
299,1017_rbsb480.mtx,,2.95928
300,1839_mark3jac080sc.mtx,,58.1765
301,1355_Franz4.mtx,,13.3014
302,0829_can_838.mtx,,2.47238
303,0696_dwt_503.mtx,,1.46557
304,2249_or2010.mtx,,106.556
305,1944_usroads.mtx,,74.2964
306,0528_tumorAntiAngiogenesis_3.mtx,,0.978559
307,0633_rdb968.mtx,,1.67555
308,0382_mk11-b1.mtx,,0.619537
309,0289_oscil_dcop_21.mtx,,0.463174
310,2804_ljournal-2008.mtx,,115.508
311,0268_n2c6-b2.mtx,,0.409542
312,1865_rajat26.mtx,,57.5345
313,1236_cell1.mtx,,10.7972
314,0093_divorce.mtx,,0.0746734
315,2836_Queen_4147.mtx,,148.131
316,1907_dixmaanl.mtx,,76.4926
317,0205_grid1_dual.mtx,,0.260793
318,1234_c-26.mtx,,8.82804
319,1606_piston.mtx,,17.5857
320,2578_cont11_l.mtx,,104.518
321,0424_lp_etamacro.mtx,,0.740559
322,0747_scrs8-2b.mtx,,2.28472
323,2816_hollywood-2009.mtx,,148.108
324,0921_adder_dcop_49.mtx,,2.47187
325,0934_G52.mtx,,2.85292
326,0413_dwt_310.mtx,,0.699934
327,1904_finance256.mtx,,76.7004
328,1827_bcsstk28.mtx,,36.2711
329,0133_west0156.mtx,,0.111546
330,1376_rajat13.mtx,,11.1222
331,2113_GL7d24.mtx,,73.835
332,0534_lp_stair.mtx,,0.974372
333,0439_mcca.mtx,,0.627388
334,1071_mk11-b2.mtx,,5.99431
335,1740_lock3491.mtx,,25.1035
336,0701_delaunay_n10.mtx,,1.72609
337,0678_fpga_dcop_13.mtx,,1.73337
338,1041_wang1.mtx,,5.19012
339,2092_Goodwin_040.mtx,,88.0296
340,1312_mk12-b2.mtx,,12.1887
341,0855_TF13.mtx,,2.81818
342,2161_cyl6.mtx,,110.953
343,0596_bp_1600.mtx,,1.34039
344,1324_freeFlyingRobot_15.mtx,,10.9948
345,0568_IG5-9.mtx,,1.11183
346,0935_G54.mtx,,2.78125
347,1645_ex31.mtx,,20.0576
348,1940_inlet.mtx,,58.5416
349,2621_shipsec1.mtx,,141.574
350,2430_mc2depi.mtx,,232.254
351,1157_as-735.mtx,,6.66581
352,2808_kron_g500-logn20.mtx,,145.12
353,2154_md2010.mtx,,91.5307
354,2731_Freescale2.mtx,,112.254
355,1373_ex24.mtx,,10.2863
356,0797_EX1(0).mtx,,1.9935
357,0730_bcsstm07.mtx,,1.6808
358,0098_d_dyn.mtx,,0.077345
359,0422_dwt_307.mtx,,0.722966
360,2607_TSOPF_RS_b2052_c1.mtx,,148.527
361,0538_celegans_metabolic.mtx,,1.09965
362,1559_t2d_q9.mtx,,23.9877
363,1039_polblogs.mtx,,4.08329
364,2197_pkustk02.mtx,,132.122
365,2227_nw14.mtx,,107.315
366,2500_wiki-talk-temporal.mtx,,123.94
367,2090_k1_san.mtx,,124.679
368,1301_G22.mtx,,7.56961
369,1106_lp_80bau3b.mtx,,5.20595
370,1328_flower_5_4.mtx,,11.0698
371,0140_bcsstk01.mtx,,0.11528
372,0983_adder_trans_02.mtx,,2.99607
373,1074_swang2.mtx,,5.65672
374,2540_pkustk04.mtx,,388.059
375,2204_nj2010.mtx,,103.944
376,0233_fs_183_6.mtx,,0.310098
377,1304_n2c6-b6.mtx,,10.4598
378,0180_Sandi_sandi.mtx,,0.184251
379,0694_bfwb782.mtx,,1.62386
380,1321_Alemdar.mtx,,11.3386
381,1716_TSOPF_FS_b9_c6.mtx,,29.9244
382,1171_bayer07.mtx,,7.20955
383,2735_germany_osm.mtx,,70.5132
384,0604_rel6.mtx,,1.54873
385,1450_mk12-b5.mtx,,17.1456
386,1899_sinc12.mtx,,42.875
387,2164_c-64.mtx,,125.52
388,2417_mixtank_new.mtx,,252.727
389,0046_problem.mtx,,0.0858421
390,0174_can_61.mtx,,0.154245
391,2764_GL7d18.mtx,,136.659
392,0433_lp_grow7.mtx,,0.567534
393,1011_lp_pds_02.mtx,,4.64878
394,1149_lp_degen3.mtx,,5.29221
395,2641_gupta3.mtx,,140.434
396,0639_fpga_dcop_07.mtx,,1.78207
397,0847_lpi_cplex1.mtx,,3.0755
398,0969_CAG_mat364.mtx,,2.27811
399,2664_fullb.mtx,,143.213
400,2278_ex11.mtx,,178.927
401,0888_adder_dcop_48.mtx,,2.69243
402,1223_lp_d2q06c.mtx,,6.89638
403,1139_email-Eu-core-temporal.mtx,,4.37934
404,1533_kineticBatchReactor_5.mtx,,18.0697
405,0562_pde900.mtx,,1.34236
406,0222_ck104.mtx,,0.27464
407,2728_CoupCons3D.mtx,,144.503
408,1846_lp_pds_20.mtx,,53.5646
409,1199_c-23.mtx,,8.22405
410,1999_nemeth09.mtx,,70.4939
411,1579_stormg2-27.mtx,,25.1645
412,0050_GD95_b.mtx,,0.0954198
